# L1 = 1.5, c = 1, a = 1, mu_eta = 1, mu_delta = 1, xi_inf = 0.01, has_dp = 1
LAMBDA, N, RD_ETA, RD_DELTA, (SIG_ETA / M_ETA), (SIG_DELTA / M_DELTA), DELTA_NEFF_CMB, DELTA_NEFF_BBN
1e-07, 5, 8.29173e-12, 6.71272e+11, 4.62498e+10, 9.32548e+21, 7.27884e-08, 5.73115e-08
1e-07, 6, 1.78952e-11, 2.44895e+09, 1.69673e+10, 1.93373e+22, 1.12206e-07, 1.08178e-07
1e-07, 7, 3.42848e-11, 8.46615e+06, 7.26785e+09, 3.58248e+22, 1.62581e-07, 1.56985e-07
1e-07, 8, 6.02128e-11, 28100.9, 3.48699e+09, 6.11155e+22, 2.24945e-07, 2.59979e-07
1e-07, 9, 9.89742e-11, 90.3389, 1.82436e+09, 9.78952e+22, 3.0029e-07, 3.40939e-07
1e-07, 10, 1.54149e-10, 0.282965, 1.02199e+09, 1.49208e+23, 3.89572e-07, 5.23608e-07
1e-07, 11, 2.30348e-10, 0.00086781, 6.05042e+08, 2.18455e+23, 4.93714e-07, 6.43946e-07
1e-07, 12, 3.31819e-10, 2.54191e-06, 3.74929e+08, 3.09397e+23, 6.13613e-07, 9.39437e-07
1e-07, 13, 4.64291e-10, 7.35369e-09, 2.41411e+08, 4.26152e+23, 7.50139e-07, 1.10458e-06
1e-07, 14, 6.33726e-10, 2.1385e-11, 1.60599e+08, 5.73197e+23, 9.04142e-07, 1.55195e-06
1e-07, 15, 8.46049e-10, 6.14976e-14, 1.09886e+08, 7.55364e+23, 1.07645e-06, 1.76524e-06
1e-07, 16, 1.10693e-09, 1.75158e-16, 7.70524e+07, 9.77848e+23, 1.26788e-06, 2.4096e-06
1e-07, 17, 1.42519e-09, 4.94709e-19, 5.52049e+07, 1.2462e+24, 1.47921e-06, 2.67192e-06
1e-07, 18, 1.81049e-09, 1.3903e-21, 4.03132e+07, 1.56632e+24, 1.71124e-06, 3.56457e-06
1e-07, 19, 2.26466e-09, 4.10602e-24, 2.99435e+07, 1.94449e+24, 1.96472e-06, 3.87407e-06
1e-07, 20, 2.8056e-09, 2.66971e-26, 2.2583e+07, 2.38732e+24, 2.2404e-06, 5.07253e-06
1e-07, 21, 3.43335e-09, 1.06255e-27, 1.7268e+07, 2.90181e+24, 2.53903e-06, 5.42433e-06
1e-07, 22, 4.1641e-09, 6.59762e-29, 1.33697e+07, 3.49528e+24, 2.86132e-06, 6.99247e-06
1e-07, 23, 5.00045e-09, 4.15855e-30, 1.04699e+07, 4.17544e+24, 3.208e-06, 7.37843e-06
1e-07, 24, 5.96182e-09, 2.59851e-31, 8.28487e+06, 4.95036e+24, 3.57977e-06, 9.38648e-06
1e-07, 25, 7.05801e-09, 1.60919e-32, 6.61877e+06, 5.82843e+24, 3.97733e-06, 9.795e-06
