N,LAM,C,ADEL,LEC1,LEC2,MU_ETA,MU_DEL,XI_INF,XI_FO,TSM_FO,XI_CMB,XI_BBN,RD_ETA,RD_DEL,DNEFF_CMB,DNEFF_BBN,ETA_SI_PER_MASS,DEL_SI_PER_MASS
5,1e-07,1,1,0.1,0.1,1,1,0.01,0.272858,1.17038e-08,0.00597331,0.00770945,1.62081e-05,4.06025e+14,1.22748e-08,1.22748e-08,4.43726e+17,2.4805e+22
6,1e-07,1,1,0.1,0.1,1,1,0.01,0.261501,1.15983e-08,0.00577678,0.00802374,2.43311e-05,1.10953e+12,1.78648e-08,1.78648e-08,1.95344e+17,2.06709e+22
7,1e-07,1,1,0.1,0.1,1,1,0.01,0.252569,1.15125e-08,0.00562102,0.00876317,3.42727e-05,3.04444e+09,2.58007e-08,2.58007e-08,9.76199e+16,1.77179e+22
8,1e-07,1,1,0.1,0.1,1,1,0.01,0.244634,1.14816e-08,0.00545906,0.00896937,4.5895e-05,8.29123e+06,3.39895e-08,3.39895e-08,5.35272e+16,1.55031e+22
9,1e-07,1,1,0.1,0.1,1,1,0.01,0.239071,1.13917e-08,0.00537704,0.00964833,5.97209e-05,22367.4,4.5374e-08,4.5374e-08,3.15056e+16,1.37806e+22
10,1e-07,1,1,0.1,0.1,1,1,0.01,0.233608,1.13602e-08,0.00526874,0.00979303,7.51903e-05,59.8253,5.64469e-08,5.64469e-08,1.96101e+16,1.24025e+22
11,1e-07,1,1,0.1,0.1,1,1,0.01,0.228614,1.1352e-08,0.00515985,0.0104302,9.2389e-05,0.158857,7.16835e-08,7.16835e-08,1.27706e+16,1.1275e+22
12,1e-07,1,1,0.1,0.1,1,1,0.01,0.225488,1.12638e-08,0.0051291,0.0105369,0.000112355,0.000419269,8.59189e-08,8.59189e-08,8.63305e+15,1.03354e+22
13,1e-07,1,1,0.1,0.1,1,1,0.01,0.222329,1.12115e-08,0.00508086,0.0111417,0.000134083,1.10093e-06,1.05381e-07,1.05381e-07,6.02191e+15,9.54039e+21
14,1e-07,1,1,0.1,0.1,1,1,0.01,0.219113,1.11921e-08,0.00501604,0.0112241,0.000157439,2.87826e-09,1.23052e-07,1.23052e-07,4.31423e+15,8.85894e+21
15,1e-07,1,1,0.1,0.1,1,1,0.01,0.216363,1.11658e-08,0.00496476,0.0118021,0.000182919,7.49779e-12,1.47089e-07,1.47089e-07,3.16278e+15,8.26834e+21
16,1e-07,1,1,0.1,0.1,1,1,0.01,0.213742,1.11522e-08,0.00491059,0.0118684,0.000210195,1.95364e-14,1.68466e-07,1.68466e-07,2.36559e+15,7.75157e+21
17,1e-07,1,1,0.1,0.1,1,1,0.01,0.211776,1.11107e-08,0.0048836,0.0124234,0.000240113,5.49599e-17,1.97409e-07,1.97409e-07,1.80078e+15,7.29559e+21
18,1e-07,1,1,0.1,0.1,1,1,0.01,0.211084,1.09933e-08,0.00491961,0.0124791,0.000274121,4.07073e-19,2.22759e-07,2.22759e-07,1.39237e+15,6.89028e+21
19,1e-07,1,1,0.1,0.1,1,1,0.01,0.208453,1.10293e-08,0.00484243,0.0130138,0.000306425,1.69085e-20,2.56923e-07,2.56923e-07,1.09166e+15,6.52764e+21
20,1e-07,1,1,0.1,0.1,1,1,0.01,0.206856,1.10035e-08,0.00481661,0.0130626,0.000342401,9.83436e-22,2.8651e-07,2.8651e-07,8.66652e+14,6.20126e+21
21,1e-07,1,1,0.1,0.1,1,1,0.01,0.205092,1.10014e-08,0.00477648,0.0135791,0.000379661,5.77736e-23,3.26198e-07,3.26198e-07,6.95813e+14,5.90596e+21
22,1e-07,1,1,0.1,0.1,1,1,0.01,0.204397,1.09293e-08,0.00479165,0.0136236,0.000421577,3.37118e-24,3.60282e-07,3.60282e-07,5.64388e+14,5.6375e+21
23,1e-07,1,1,0.1,0.1,1,1,0.01,0.203172,1.09058e-08,0.00477322,0.0141235,0.000463913,1.9537e-25,4.05787e-07,4.05787e-07,4.62066e+14,5.3924e+21
24,1e-07,1,1,0.1,0.1,1,1,0.01,0.201883,1.08954e-08,0.00474744,0.0141654,0.000507774,1.1251e-26,4.44629e-07,4.44629e-07,3.8153e+14,5.16771e+21
25,1e-07,1,1,0.1,0.1,1,1,0.01,0.201507,1.08226e-08,0.00477052,0.0146502,0.000556709,6.44164e-28,4.96232e-07,4.96232e-07,3.17504e+14,4.961e+21
26,1e-07,1,1,0.1,0.1,1,1,0.01,0.200319,1.08186e-08,0.00474413,0.0146907,0.000604536,3.66836e-29,5.40086e-07,5.40086e-07,2.66134e+14,4.7702e+21
27,1e-07,1,1,0.1,0.1,1,1,0.01,0.198328,1.08842e-08,0.00466868,0.0151616,0.000650331,2.07869e-30,5.98062e-07,5.98062e-07,2.24565e+14,4.59352e+21
28,1e-07,1,1,0.1,0.1,1,1,0.01,0.198225,1.08077e-08,0.00469928,0.0152018,0.000706273,1.17247e-31,6.47183e-07,6.47183e-07,1.90664e+14,4.42947e+21
29,1e-07,1,1,0.1,0.1,1,1,0.01,0.197193,1.08097e-08,0.00467395,0.0156597,0.000759607,6.58492e-33,7.11803e-07,7.11803e-07,1.62813e+14,4.27673e+21
30,1e-07,1,1,0.1,0.1,1,1,0.01,0.196309,1.0805e-08,0.004655,0.0157002,0.000815297,3.68345e-34,7.66441e-07,7.66441e-07,1.39776e+14,4.13417e+21
5,2.0893e-07,1,1,0.1,0.1,1,1,0.01,0.260998,2.58563e-08,0.00258627,0.00799894,3.81962e-05,4.06024e+14,1.30124e-08,1.30124e-08,4.86536e+16,2.71982e+21
6,2.0893e-07,1,1,0.1,0.1,1,1,0.01,0.250173,2.56322e-08,0.00250069,0.00850336,5.73023e-05,1.10953e+12,1.94168e-08,1.94168e-08,2.1419e+16,2.26651e+21
7,2.0893e-07,1,1,0.1,0.1,1,1,0.01,0.241412,2.54846e-08,0.00242708,0.00925164,8.05408e-05,3.04443e+09,2.79956e-08,2.79956e-08,1.07038e+16,1.94273e+21
8,2.0893e-07,1,1,0.1,0.1,1,1,0.01,0.23478,2.52954e-08,0.00237807,0.00968195,0.000108418,8.29123e+06,3.77836e-08,3.77836e-08,5.86914e+15,1.69989e+21
9,2.0893e-07,1,1,0.1,0.1,1,1,0.01,0.230506,2.49567e-08,0.00236646,0.0103579,0.000141929,22367.4,5.02813e-08,5.02813e-08,3.45452e+15,1.51101e+21
10,2.0893e-07,1,1,0.1,0.1,1,1,0.01,0.224795,2.49611e-08,0.00230742,0.0107494,0.000178063,59.8253,6.39929e-08,6.39929e-08,2.1502e+15,1.35991e+21
11,2.0893e-07,1,1,0.1,0.1,1,1,0.01,0.220113,2.49336e-08,0.00226185,0.0113747,0.000218826,0.158857,8.09474e-08,8.09474e-08,1.40027e+15,1.23628e+21
12,2.0893e-07,1,1,0.1,0.1,1,1,0.01,0.217156,2.47401e-08,0.00224892,0.0117429,0.000266035,0.000419269,9.91003e-08,9.91003e-08,9.46595e+14,1.13326e+21
13,2.0893e-07,1,1,0.1,0.1,1,1,0.01,0.214165,2.46251e-08,0.0022283,0.0123298,0.000317394,1.10093e-06,1.21023e-07,1.21023e-07,6.6029e+14,1.04608e+21
14,2.0893e-07,1,1,0.1,0.1,1,1,0.01,0.211117,2.45825e-08,0.0022004,0.0126827,0.000372586,2.87828e-09,1.44116e-07,1.44116e-07,4.73046e+14,9.71363e+20
15,2.0893e-07,1,1,0.1,0.1,1,1,0.01,0.208515,2.45247e-08,0.0021784,0.013239,0.000432774,7.49911e-12,1.71499e-07,1.71499e-07,3.46792e+14,9.06606e+20
16,2.0893e-07,1,1,0.1,0.1,1,1,0.01,0.206035,2.44948e-08,0.00215512,0.0135811,0.000497185,1.96181e-14,2.00016e-07,2.00016e-07,2.59382e+14,8.49943e+20
17,2.0893e-07,1,1,0.1,0.1,1,1,0.01,0.204182,2.44037e-08,0.00214372,0.0141121,0.0005678,5.99517e-17,2.33333e-07,2.33333e-07,1.97451e+14,7.99946e+20
18,2.0893e-07,1,1,0.1,0.1,1,1,0.01,0.203552,2.41459e-08,0.00215991,0.0144461,0.000648001,7.08805e-19,2.67743e-07,2.67743e-07,1.5267e+14,7.55505e+20
19,2.0893e-07,1,1,0.1,0.1,1,1,0.01,0.201059,2.4225e-08,0.00212649,0.0149558,0.000724224,3.49619e-20,3.07457e-07,3.07457e-07,1.19698e+14,7.15741e+20
20,2.0893e-07,1,1,0.1,0.1,1,1,0.01,0.199556,2.41682e-08,0.00211556,0.0152835,0.00080905,2.05375e-21,3.48219e-07,3.48219e-07,9.50265e+13,6.79954e+20
21,2.0893e-07,1,1,0.1,0.1,1,1,0.01,0.197894,2.41636e-08,0.00209834,0.015775,0.000896888,1.20704e-22,3.94779e-07,3.94779e-07,7.62944e+13,6.47575e+20
22,2.0893e-07,1,1,0.1,0.1,1,1,0.01,0.197256,2.40054e-08,0.00210537,0.0160975,0.000995605,7.0434e-24,4.4234e-07,4.4234e-07,6.18839e+13,6.1814e+20
23,2.0893e-07,1,1,0.1,0.1,1,1,0.01,0.19611,2.39536e-08,0.00209764,0.0165731,0.00109531,4.08186e-25,4.96189e-07,4.96189e-07,5.06646e+13,5.91264e+20
24,2.0893e-07,1,1,0.1,0.1,1,1,0.01,0.1949,2.39309e-08,0.00208669,0.0168912,0.00119859,2.35066e-26,5.50989e-07,5.50989e-07,4.1834e+13,5.66628e+20
25,2.0893e-07,1,1,0.1,0.1,1,1,0.01,0.194568,2.37709e-08,0.00209716,0.0173529,0.00131368,1.34585e-27,6.12557e-07,6.12557e-07,3.48137e+13,5.43963e+20
26,2.0893e-07,1,1,0.1,0.1,1,1,0.01,0.193455,2.37621e-08,0.00208593,0.0176673,0.00142622,7.6643e-29,6.75026e-07,6.75026e-07,2.9181e+13,5.23042e+20
27,2.0893e-07,1,1,0.1,0.1,1,1,0.01,0.19157,2.39061e-08,0.00205316,0.0181165,0.00153406,4.343e-30,7.44737e-07,7.44737e-07,2.46231e+13,5.0367e+20
28,2.0893e-07,1,1,0.1,0.1,1,1,0.01,0.191497,2.37381e-08,0.00206691,0.0184275,0.00166547,2.44965e-31,8.15298e-07,8.15298e-07,2.09059e+13,4.85682e+20
29,2.0893e-07,1,1,0.1,0.1,1,1,0.01,0.190532,2.37425e-08,0.00205611,0.0188657,0.00179085,1.37578e-32,8.93571e-07,8.93571e-07,1.78521e+13,4.68934e+20
30,2.0893e-07,1,1,0.1,0.1,1,1,0.01,0.189709,2.37323e-08,0.00204811,0.0191737,0.00192171,7.69583e-34,9.72642e-07,9.72642e-07,1.53262e+13,4.53303e+20
5,4.36516e-07,1,1,0.1,0.1,1,1,0.01,0.250679,5.68367e-08,0.00113004,0.0088994,9.05435e-05,4.06025e+14,1.49586e-08,1.49586e-08,5.33476e+15,2.98222e+20
6,4.36516e-07,1,1,0.1,0.1,1,1,0.01,0.242123,5.58274e-08,0.0011112,0.00974338,0.000137246,1.10953e+12,2.29489e-08,2.29489e-08,2.34855e+15,2.48518e+20
7,4.36516e-07,1,1,0.1,0.1,1,1,0.01,0.233987,5.54224e-08,0.00108171,0.0106422,0.000193153,3.04443e+09,3.33092e-08,3.33092e-08,1.17365e+15,2.13016e+20
8,4.36516e-07,1,1,0.1,0.1,1,1,0.01,0.225894,5.5556e-08,0.00104178,0.0114165,0.000257003,8.29124e+06,4.59527e-08,4.59527e-08,6.43539e+14,1.86389e+20
9,4.36516e-07,1,1,0.1,0.1,1,1,0.01,0.220587,5.52207e-08,0.00102349,0.0122442,0.000333558,22367.4,6.14481e-08,6.14481e-08,3.78781e+14,1.65679e+20
10,4.36516e-07,1,1,0.1,0.1,1,1,0.01,0.216084,5.49315e-08,0.00100787,0.0129745,0.00042089,59.8253,7.9601e-08,7.9601e-08,2.35765e+14,1.49111e+20
11,4.36516e-07,1,1,0.1,0.1,1,1,0.01,0.211956,5.47647e-08,0.000991629,0.013753,0.000518219,0.158857,1.01063e-07,1.01063e-07,1.53537e+14,1.35555e+20
12,4.36516e-07,1,1,0.1,0.1,1,1,0.01,0.20916,5.43396e-08,0.000986206,0.0144517,0.000629821,0.000419269,1.25541e-07,1.25541e-07,1.03792e+14,1.24259e+20
13,4.36516e-07,1,1,0.1,0.1,1,1,0.01,0.20633,5.40871e-08,0.000977405,0.0151933,0.000751191,1.10093e-06,1.53767e-07,1.53767e-07,7.23993e+13,1.14701e+20
14,4.36516e-07,1,1,0.1,0.1,1,1,0.01,0.203444,5.39934e-08,0.000965402,0.0158675,0.000881582,2.87833e-09,1.85354e-07,1.85354e-07,5.18685e+13,1.06508e+20
15,4.36516e-07,1,1,0.1,0.1,1,1,0.01,0.200983,5.38666e-08,0.000955972,0.0165798,0.00102372,7.50187e-12,2.21113e-07,2.21113e-07,3.8025e+13,9.94073e+19
16,4.36516e-07,1,1,0.1,0.1,1,1,0.01,0.198638,5.38009e-08,0.000945968,0.0172341,0.00117578,1.97886e-14,2.60569e-07,2.60569e-07,2.84407e+13,9.31944e+19
17,4.36516e-07,1,1,0.1,0.1,1,1,0.01,0.196893,5.36006e-08,0.000941164,0.0179226,0.00134241,7.03811e-17,3.04606e-07,3.04606e-07,2.16501e+13,8.77123e+19
18,4.36516e-07,1,1,0.1,0.1,1,1,0.01,0.196321,5.30345e-08,0.000948447,0.0185601,0.00153148,1.33921e-18,3.52667e-07,3.52667e-07,1.67399e+13,8.28394e+19
19,4.36516e-07,1,1,0.1,0.1,1,1,0.01,0.19396,5.32083e-08,0.000933979,0.0192285,0.00171128,7.26808e-20,4.05711e-07,4.05711e-07,1.31247e+13,7.84795e+19
