N,LAM,C,ADEL,LEC1,LEC2,MU_ETA,MU_DEL,XI_INF,XI_FO,TSM_FO,XI_CMB,XI_BBN,RD_ETA,RD_DEL,DNEFF_CMB,DNEFF_BBN,ETA_SI_PER_MASS,DEL_SI_PER_MASS
5,1e-07,1,1,0.05,10,1,1,0.01,0.452936,6.25236e-09,0.0185609,0.00770945,4.51075e-07,39.2189,1.22748e-08,1.22748e-08,1.10931e+17,2.4805e+22
6,1e-07,1,1,0.05,10,1,1,0.01,0.404952,6.71454e-09,0.0154522,0.00802374,5.96444e-07,0.204194,1.78648e-08,1.78648e-08,4.88359e+16,2.06709e+22
7,1e-07,1,1,0.05,10,1,1,0.01,0.371259,7.08148e-09,0.0134325,0.00876317,7.58281e-07,0.000963952,2.58007e-08,2.58007e-08,2.4405e+16,1.77179e+22
8,1e-07,1,1,0.05,10,1,1,0.01,0.345737,7.39304e-09,0.011982,0.00896937,9.36261e-07,4.22408e-06,3.39895e-08,3.39895e-08,1.33818e+16,1.55031e+22
9,1e-07,1,1,0.05,10,1,1,0.01,0.324647,7.69302e-09,0.0108123,0.00964833,1.13001e-06,1.74397e-08,4.5374e-08,4.5374e-08,7.87641e+15,1.37806e+22
10,1e-07,1,1,0.05,10,1,1,0.01,0.307961,7.94704e-09,0.00992875,0.00979303,1.33941e-06,6.85989e-11,5.64469e-08,5.64469e-08,4.90252e+15,1.24025e+22
11,1e-07,1,1,0.05,10,1,1,0.01,0.293319,8.20416e-09,0.00916034,0.0104302,1.56406e-06,2.59891e-13,7.16835e-08,7.16835e-08,3.19266e+15,1.1275e+22
12,1e-07,1,1,0.05,10,1,1,0.01,0.282335,8.3864e-09,0.00862567,0.0105369,1.80419e-06,1.00563e-15,8.59189e-08,8.59189e-08,2.15826e+15,1.03354e+22
13,1e-07,1,1,0.05,10,1,1,0.01,0.271831,8.59648e-09,0.00810183,0.0111417,2.05908e-06,7.8204e-18,1.05381e-07,1.05381e-07,1.50548e+15,9.54039e+21
14,1e-07,1,1,0.05,10,1,1,0.01,0.262918,8.78271e-09,0.00767001,0.0112241,2.32889e-06,3.38499e-19,1.23052e-07,1.23052e-07,1.07856e+15,8.85894e+21
15,1e-07,1,1,0.05,10,1,1,0.01,0.254843,8.96819e-09,0.00728069,0.0118021,2.61328e-06,2.3387e-20,1.47089e-07,1.47089e-07,7.90695e+14,8.26834e+21
16,1e-07,1,1,0.05,10,1,1,0.01,0.248426,9.10669e-09,0.00698943,0.0118684,2.91262e-06,1.63103e-21,1.68466e-07,1.68466e-07,5.91398e+14,7.75157e+21
17,1e-07,1,1,0.05,10,1,1,0.01,0.243443,9.19834e-09,0.00678099,0.0124234,3.22692e-06,1.11702e-22,1.97409e-07,1.97409e-07,4.50194e+14,7.29559e+21
18,1e-07,1,1,0.05,10,1,1,0.01,0.237393,9.36663e-09,0.00649366,0.0124791,3.55459e-06,7.51767e-24,2.22759e-07,2.22759e-07,3.48091e+14,6.89028e+21
19,1e-07,1,1,0.05,10,1,1,0.01,0.232398,9.501e-09,0.00626713,0.0130138,3.89682e-06,4.98069e-25,2.56923e-07,2.56923e-07,2.72916e+14,6.52764e+21
20,1e-07,1,1,0.05,10,1,1,0.01,0.228624,9.58487e-09,0.00611139,0.0130626,4.25393e-06,3.25354e-26,2.8651e-07,2.8651e-07,2.16663e+14,6.20126e+21
21,1e-07,1,1,0.05,10,1,1,0.01,0.224872,9.68211e-09,0.00595073,0.0135791,4.62488e-06,2.09827e-27,3.26198e-07,3.26198e-07,1.73953e+14,5.90596e+21
22,1e-07,1,1,0.05,10,1,1,0.01,0.221626,9.76286e-09,0.00581631,0.0136236,5.01009e-06,1.33755e-28,3.60282e-07,3.60282e-07,1.41097e+14,5.6375e+21
23,1e-07,1,1,0.05,10,1,1,0.01,0.217635,9.90302e-09,0.00563075,0.0141235,5.40791e-06,8.43594e-30,4.05787e-07,4.05787e-07,1.15517e+14,5.3924e+21
