N,LAM,C,ADEL,LEC1,LEC2,MU_ETA,MU_DEL,XI_INF,XI_FO,TSM_FO,XI_CMB,XI_BBN,RD_ETA,RD_DEL,DNEFF_CMB,DNEFF_BBN,ETA_SI_PER_MASS,DEL_SI_PER_MASS
10,1e-07,0.666544,1,0,1,1,1,0.01,0.188588,1.50714e-08,0.003206,0.00993311,1.50799e-06,5.40279e-08,5.70912e-08,5.70912e-08,0,1.24025e+22
9,1e-07,0.666544,1,0,1,1,1,0.01,0.197881,1.45897e-08,0.00347507,0.0095332,1.26955e-06,7.05117e-06,4.49187e-08,4.49187e-08,0,1.37806e+22
8,1e-07,0.666544,1,0,1,1,1,0.01,0.209687,1.40208e-08,0.00383182,0.00910862,1.04943e-06,0.000876636,3.44233e-08,3.44233e-08,0,1.55031e+22
6,1e-07,0.666544,1,0,1,1,1,0.01,0.241065,1.28609e-08,0.00480251,0.00815806,6.64655e-07,11.165,1.81195e-08,1.81195e-08,0,2.06709e+22
7,1e-07,0.666544,1,0,1,1,1,0.01,0.222394,1.35548e-08,0.00420373,0.00865322,8.47499e-07,0.102685,2.55197e-08,2.55197e-08,0,1.77179e+22
5,1e-07,0.666544,1,0,1,1,1,0.01,0.265673,1.21025e-08,0.00562443,0.00760944,5.00873e-07,1100.72,1.21314e-08,1.21314e-08,0,2.4805e+22
25,1e-07,0.666544,1,0,1,1,1,0.01,0.140883,1.83073e-08,0.0019717,0.0145448,7.17372e-06,6.30729e-41,4.93669e-07,4.93669e-07,0,4.961e+21
11,1e-07,0.666544,1,0,1,1,1,0.01,0.181786,1.54042e-08,0.0030236,0.0103128,1.76487e-06,3.97666e-10,7.10242e-08,7.10242e-08,0,1.1275e+22
27,1e-07,0.666544,1,0,1,1,1,0.01,0.138782,1.85122e-08,0.00192079,0.015059,8.21266e-06,2.10583e-45,5.95193e-07,5.95193e-07,0,4.59352e+21
28,1e-07,0.666544,1,0,1,1,1,0.01,0.138201,1.85362e-08,0.00191028,0.015311,8.75791e-06,1.20527e-47,6.50386e-07,6.50386e-07,0,4.42947e+21
12,1e-07,0.666544,1,0,1,1,1,0.01,0.175692,1.57464e-08,0.00285875,0.0106756,2.0395e-06,2.82979e-12,8.67983e-08,8.67983e-08,0,1.03354e+22
21,1e-07,0.666544,1,0,1,1,1,0.01,0.146477,1.78193e-08,0.00210613,0.0134684,5.29112e-06,5.16483e-32,3.24234e-07,3.24234e-07,0,5.90596e+21
13,1e-07,0.666544,1,0,1,1,1,0.01,0.171092,1.59802e-08,0.00274315,0.011024,2.33227e-06,1.95658e-14,1.04493e-07,1.04493e-07,0,9.54039e+21
20,1e-07,0.666544,1,0,1,1,1,0.01,0.148468,1.76403e-08,0.0021564,0.0131873,4.8622e-06,8.53793e-30,2.88486e-07,2.88486e-07,0,6.20126e+21
26,1e-07,0.666544,1,0,1,1,1,0.01,0.140535,1.82621e-08,0.00197169,0.0148036,7.68823e-06,3.6566e-43,5.42976e-07,5.42976e-07,0,4.7702e+21
