N,LAM,C,ADEL,LEC1,LEC2,MU_ETA,MU_DEL,XI_INF,XI_FO,TSM_FO,XI_CMB,XI_BBN,RD_ETA,RD_DEL,DNEFF_CMB,DNEFF_BBN,ETA_SI_PER_MASS,DEL_SI_PER_MASS
8.22148,1e-07,0.666544,1,0.1,1,1,1,0.05,1.4487,1.83233e-09,0.202572,0.0447899,0.000126731,0.945826,2.1834e-05,2.1834e-05,4.73375e+16,1.50855e+22
9.02685,1e-07,0.666544,1,0.1,1,1,1,0.05,1.37431,1.90103e-09,0.185226,0.046282,0.000147226,0.019345,2.68285e-05,2.68285e-05,3.10862e+16,1.37396e+22
8.42282,1e-07,0.666544,1,0.1,1,1,1,0.05,1.42144,1.86235e-09,0.195556,0.0451721,0.000131709,0.358836,2.30283e-05,2.30283e-05,4.24542e+16,1.47249e+22
8.62416,1e-07,0.666544,1,0.1,1,1,1,0.05,1.40652,1.87305e-09,0.192398,0.045548,0.000136802,0.135839,2.42586e-05,2.42586e-05,3.81728e+16,1.43811e+22
7.81879,1e-07,0.666544,1,0.1,1,1,1,0.05,1.47863,1.81539e-09,0.208687,0.0440055,0.000116955,6.52544,1.95523e-05,1.95523e-05,5.93405e+16,1.58624e+22
8.02013,1e-07,0.666544,1,0.1,1,1,1,0.05,1.46684,1.81845e-09,0.206674,0.0444011,0.000121809,2.48731,2.06754e-05,2.06754e-05,5.29252e+16,1.54642e+22
9.22819,1e-07,0.666544,1,0.1,1,1,1,0.05,1.36319,1.90733e-09,0.183119,0.0466406,0.000152578,0.00727867,2.81685e-05,2.81685e-05,2.81485e+16,1.34398e+22
8.8255,1e-07,0.666544,1,0.1,1,1,1,0.05,1.39327,1.88165e-09,0.189714,0.0459179,0.000141983,0.0513141,2.55253e-05,2.55253e-05,3.44074e+16,1.4053e+22
7.61745,1e-07,0.666544,1,0.1,1,1,1,0.05,1.50592,1.78937e-09,0.215629,0.0436027,0.000112219,17.0767,1.84644e-05,1.84644e-05,6.67324e+16,1.62817e+22
9.42953,1e-07,0.666544,1,0.1,1,1,1,0.05,1.35015,1.91771e-09,0.180386,0.0469938,0.000158004,0.00273352,2.95457e-05,2.95457e-05,2.55431e+16,1.31528e+22
9.63087,1e-07,0.666544,1,0.1,1,1,1,0.05,1.33352,1.93548e-09,0.176528,0.0473418,0.000163496,0.00102473,3.09602e-05,3.09602e-05,2.32265e+16,1.28779e+22
5.20134,1e-07,0.666544,1,0.1,1,1,1,0.05,1.86358,1.56596e-09,0.304909,0.0380504,6.19052e-05,1.37813e+06,8.04805e-06,8.04805e-06,3.71501e+17,2.38448e+22
5.40268,1e-07,0.666544,1,0.1,1,1,1,0.05,1.81582,1.59516e-09,0.291657,0.0385765,6.5613e-05,549226,8.73692e-06,8.73692e-06,3.13138e+17,2.29562e+22
6.61074,1e-07,0.666544,1,0.1,1,1,1,0.05,1.6223,1.70984e-09,0.243097,0.041468,8.97356e-05,2010.52,1.3543e-05,1.3543e-05,1.26286e+17,1.87612e+22
7.01342,1e-07,0.666544,1,0.1,1,1,1,0.05,1.57103,1.74443e-09,0.230746,0.0423476,9.84702e-05,301.151,1.54092e-05,1.54092e-05,9.6782e+16,1.7684e+22
7.21477,1e-07,0.666544,1,0.1,1,1,1,0.05,1.54207,1.76869e-09,0.223387,0.0427741,0.000102956,116.023,1.63932e-05,1.63932e-05,8.52079e+16,1.71905e+22
7.41611,1e-07,0.666544,1,0.1,1,1,1,0.05,1.52569,1.77605e-09,0.220099,0.0431924,0.000107549,44.5725,1.74115e-05,1.74115e-05,7.52814e+16,1.67237e+22
6.81208,1e-07,0.666544,1,0.1,1,1,1,0.05,1.59823,1.7243e-09,0.237483,0.0419124,9.40633e-05,779.339,1.44592e-05,1.44592e-05,1.10337e+17,1.82066e+22
6.00671,1e-07,0.666544,1,0.1,1,1,1,0.05,1.7107,1.65445e-09,0.264927,0.0400743,7.72817e-05,33819.4,1.09938e-05,1.09938e-05,1.94363e+17,2.06478e+22
6.4094,1e-07,0.666544,1,0.1,1,1,1,0.05,1.65133,1.6903e-09,0.250308,0.0410139,8.54991e-05,5169.64,1.26603e-05,1.26603e-05,1.45145e+17,1.93505e+22
6.20805,1e-07,0.666544,1,0.1,1,1,1,0.05,1.68322,1.66882e-09,0.258427,0.0405495,8.13504e-05,13246.7,1.18106e-05,1.18106e-05,1.67564e+17,1.99781e+22
5.80537,1e-07,0.666544,1,0.1,1,1,1,0.05,1.74157,1.63759e-09,0.272484,0.0395876,7.33024e-05,86007.9,1.02095e-05,1.02095e-05,2.26592e+17,2.13639e+22
5,1e-07,0.666544,1,0.1,1,1,1,0.05,1.9036,1.54734e-09,0.315207,0.0375093,5.82785e-05,3.43973e+06,7.39033e-06,7.39033e-06,4.43726e+17,2.4805e+22
5.60403,1e-07,0.666544,1,0.1,1,1,1,0.05,1.78192,1.6117e-09,0.283277,0.0390886,6.94176e-05,217827,9.45728e-06,9.45728e-06,2.656e+17,2.21314e+22
11.2416,1e-07,0.666544,1,0.1,1,1,1,0.05,1.24087,2.02496e-09,0.157005,0.0499612,0.000210478,3.77302e-07,4.36503e-05,4.36503e-05,1.15811e+16,1.10327e+22
10.6376,1e-07,0.666544,1,0.1,1,1,1,0.05,1.27571,1.98668e-09,0.164524,0.049011,0.000192265,7.40042e-06,3.86016e-05,3.86016e-05,1.48486e+16,1.16591e+22
10.8389,1e-07,0.666544,1,0.1,1,1,1,0.05,1.25793,2.01161e-09,0.160221,0.0493317,0.000198221,2.74791e-06,4.02453e-05,4.02453e-05,1.36471e+16,1.14426e+22
11.443,1e-07,0.666544,1,0.1,1,1,1,0.05,1.23119,2.03478e-09,0.155029,0.0502702,0.000216718,1.3953e-07,4.5412e-05,4.5412e-05,1.0692e+16,1.08386e+22
9.83221,1e-07,0.666544,1,0.1,1,1,1,0.05,1.32549,1.93782e-09,0.175255,0.0476849,0.000169104,0.000383478,3.24123e-05,3.24123e-05,2.11616e+16,1.26142e+22
11.0403,1e-07,0.666544,1,0.1,1,1,1,0.05,1.25287,2.01078e-09,0.159642,0.0496484,0.000204331,1.01892e-06,4.19282e-05,4.19282e-05,1.25624e+16,1.12339e+22
10.4362,1e-07,0.666544,1,0.1,1,1,1,0.05,1.28622,1.97733e-09,0.166664,0.048686,0.000186346,1.99012e-05,3.69966e-05,3.69966e-05,1.6182e+16,1.18841e+22
10.2349,1e-07,0.666544,1,0.1,1,1,1,0.05,1.30061,1.96092e-09,0.169939,0.0483568,0.000180526,5.34381e-05,3.54302e-05,3.54302e-05,1.76646e+16,1.21179e+22
10.0336,1e-07,0.666544,1,0.1,1,1,1,0.05,1.30481,1.96502e-09,0.170132,0.0480232,0.000174736,0.000143267,3.39022e-05,3.39022e-05,1.93167e+16,1.2361e+22
11.6443,1e-07,0.666544,1,0.1,1,1,1,0.05,1.21953,2.04944e-09,0.152462,0.0505756,0.000223022,5.15343e-08,4.72134e-05,4.72134e-05,9.88485e+15,1.06511e+22
12.047,1e-07,0.666544,1,0.1,1,1,1,0.05,1.20398,2.06306e-09,0.149524,0.0511757,0.000235922,7.00436e-09,5.09365e-05,5.09365e-05,8.48258e+15,1.02951e+22
11.8456,1e-07,0.666544,1,0.1,1,1,1,0.05,1.2112,2.0573e-09,0.150842,0.0508774,0.000229428,1.90104e-08,4.90549e-05,4.90549e-05,9.15096e+15,1.04701e+22
12.2483,1e-07,0.666544,1,0.1,1,1,1,0.05,1.19955,2.06283e-09,0.148991,0.0514707,0.000242518,2.57777e-09,5.28586e-05,5.28586e-05,7.8729e+15,1.01259e+22
12.4497,1e-07,0.666544,1,0.1,1,1,1,0.05,1.18603,2.0838e-09,0.145829,0.0517624,0.000249117,9.47622e-10,5.48213e-05,5.48213e-05,7.31594e+15,9.96212e+21
13.255,1e-07,0.666544,1,0.1,1,1,1,0.05,1.15136,2.12779e-09,0.13864,0.0528986,0.000276441,1.71243e-11,6.30833e-05,6.30833e-05,5.5178e+15,9.35683e+21
12.651,1e-07,0.666544,1,0.1,1,1,1,0.05,1.17881,2.09071e-09,0.144463,0.052051,0.000255846,3.47979e-10,5.6825e-05,5.6825e-05,6.80639e+15,9.80358e+21
12.8523,1e-07,0.666544,1,0.1,1,1,1,0.05,1.16811,2.1063e-09,0.142091,0.0523365,0.00026262,1.27648e-10,5.88697e-05,5.88697e-05,6.33955e+15,9.65e+21
13.0537,1e-07,0.666544,1,0.1,1,1,1,0.05,1.15854,2.11973e-09,0.140035,0.052619,0.00026948,4.67767e-11,6.09557e-05,6.09557e-05,5.91125e+15,9.50115e+21
14.2617,1e-07,0.666544,1,0.1,1,1,1,0.05,1.11989,2.16204e-09,0.132713,0.0542553,0.000312453,1.11035e-13,7.43515e-05,7.43515e-05,3.9692e+15,8.69635e+21
13.4564,1e-07,0.666544,1,0.1,1,1,1,0.05,1.14584,2.13212e-09,0.137694,0.0531753,0.000283497,6.26293e-12,6.52526e-05,6.52526e-05,5.15588e+15,9.21683e+21
13.8591,1e-07,0.666544,1,0.1,1,1,1,0.05,1.13806,2.13333e-09,0.136682,0.0537206,0.000297881,8.35396e-13,6.97173e-05,6.97173e-05,4.51521e+15,8.94903e+21
15.0671,1e-07,0.666544,1,0.1,1,1,1,0.05,1.09407,2.19674e-09,0.127606,0.0552953,0.000342632,1.94213e-15,8.41348e-05,8.41348e-05,3.09988e+15,8.23151e+21
14.4631,1e-07,0.666544,1,0.1,1,1,1,0.05,1.11597,2.16362e-09,0.132152,0.0545189,0.000319918,4.04289e-14,7.67326e-05,7.67326e-05,3.72653e+15,8.57529e+21
16.4765,1e-07,0.666544,1,0.1,1,1,1,0.05,1.05922,2.23983e-09,0.121165,0.0570297,0.000398522,1.58771e-18,0.000102941,0.000102941,2.07294e+15,7.52739e+21
13.6577,1e-07,0.666544,1,0.1,1,1,1,0.05,1.1408,2.13549e-09,0.136873,0.0534493,0.000290637,2.28841e-12,6.74639e-05,6.74639e-05,4.82256e+15,9.08095e+21
14.0604,1e-07,0.666544,1,0.1,1,1,1,0.05,1.1275,2.15121e-09,0.134288,0.0539892,0.000305113,3.04695e-13,7.20131e-05,7.20131e-05,4.23145e+15,8.82088e+21
14.6644,1e-07,0.666544,1,0.1,1,1,1,0.05,1.10678,2.17928e-09,0.130122,0.0547801,0.000327388,1.47084e-14,7.91568e-05,7.91568e-05,3.50176e+15,8.45755e+21
16.2752,1e-07,0.666544,1,0.1,1,1,1,0.05,1.06714,2.22457e-09,0.122908,0.0567881,0.000390364,4.39274e-18,0.000100121,0.000100121,2.19086e+15,7.62051e+21
15.4698,1e-07,0.666544,1,0.1,1,1,1,0.05,1.08387,2.20853e-09,0.125741,0.0558015,0.000358217,2.55664e-16,8.92873e-05,8.92873e-05,2.75295e+15,8.01724e+21
15.2685,1e-07,0.666544,1,0.1,1,1,1,0.05,1.0901,2.19943e-09,0.126987,0.0555495,0.000350404,7.04911e-16,8.66892e-05,8.66892e-05,2.92013e+15,8.12296e+21
16.6779,1e-07,0.666544,1,0.1,1,1,1,0.05,1.05165,2.25451e-09,0.119515,0.0572693,0.000406757,5.73491e-19,0.000105806,0.000105806,1.96268e+15,7.43652e+21
15.6711,1e-07,0.666544,1,0.1,1,1,1,0.05,1.08369,2.20117e-09,0.126141,0.0560513,0.000366203,9.26592e-17,9.19293e-05,9.19293e-05,2.59733e+15,7.91424e+21
15.8725,1e-07,0.666544,1,0.1,1,1,1,0.05,1.07655,2.21322e-09,0.124628,0.0562989,0.000374155,3.35584e-17,9.46155e-05,9.46155e-05,2.45232e+15,7.81384e+21
16.0738,1e-07,0.666544,1,0.1,1,1,1,0.05,1.07077,2.22183e-09,0.123478,0.0565445,0.000382203,1.21455e-17,9.73461e-05,9.73461e-05,2.31709e+15,7.71597e+21
14.8658,1e-07,0.666544,1,0.1,1,1,1,0.05,1.09862,2.19269e-09,0.128373,0.0550389,0.000334946,5.34676e-15,8.16241e-05,8.16241e-05,3.29334e+15,8.343e+21
16.8792,1e-07,0.666544,1,0.1,1,1,1,0.05,1.04723,2.26027e-09,0.11871,0.057507,0.000415127,2.07018e-19,0.000108716,0.000108716,1.8595e+15,7.34781e+21
17.0805,1e-07,0.666544,1,0.1,1,1,1,0.05,1.0431,2.2654e-09,0.117974,0.0577429,0.000423579,7.46835e-20,0.000111671,0.000111671,1.76288e+15,7.26119e+21
17.4832,1e-07,0.666544,1,0.1,1,1,1,0.05,1.0385,2.26521e-09,0.117464,0.0582092,0.000440789,9.70242e-21,0.000117718,0.000117718,1.58739e+15,7.09395e+21
17.2819,1e-07,0.666544,1,0.1,1,1,1,0.05,1.03817,2.27311e-09,0.117018,0.0579769,0.000432088,2.69265e-20,0.000114672,0.000114672,1.67232e+15,7.1766e+21
17.6846,1e-07,0.666544,1,0.1,1,1,1,0.05,1.03315,2.2745e-09,0.116381,0.0584397,0.000449441,3.49406e-21,0.000120811,0.000120811,1.50767e+15,7.01318e+21
17.8859,1e-07,0.666544,1,0.1,1,1,1,0.05,1.02486,2.29312e-09,0.11451,0.0586684,0.000458094,1.25758e-21,0.000123949,0.000123949,1.43278e+15,6.93424e+21
18.8926,1e-07,0.666544,1,0.1,1,1,1,0.05,1.0107,2.30508e-09,0.112342,0.0597876,0.000503132,7.53487e-24,0.000140338,0.000140338,1.11986e+15,6.56474e+21
18.2886,1e-07,0.666544,1,0.1,1,1,1,0.05,1.0169,2.30466e-09,0.113051,0.0591209,0.000475824,1.62643e-22,0.000130365,0.000130365,1.29619e+15,6.78156e+21
18.4899,1e-07,0.666544,1,0.1,1,1,1,0.05,1.0192,2.29102e-09,0.113982,0.0593447,0.000484963,5.84438e-23,0.000133642,0.000133642,1.23387e+15,6.70771e+21
19.2953,1e-07,0.666544,1,0.1,1,1,1,0.05,1.00183,2.32109e-09,0.110588,0.0602243,0.000521584,9.69508e-25,0.000147222,0.000147222,1.01847e+15,6.42774e+21
18.0872,1e-07,0.666544,1,0.1,1,1,1,0.05,1.02111,2.29807e-09,0.113845,0.0588955,0.000466928,4.52379e-22,0.000127134,0.000127134,1.3624e+15,6.85705e+21
18.6913,1e-07,0.666544,1,0.1,1,1,1,0.05,1.01526,2.29699e-09,0.113246,0.0595669,0.000494019,2.09902e-23,0.000136967,0.000136967,1.17518e+15,6.63545e+21
