N,LAM,C,ADEL,LEC1,LEC2,MU_ETA,MU_DEL,XI_INF,XI_FO,TSM_FO,XI_CMB,XI_BBN,RD_ETA,RD_DEL,DNEFF_CMB,DNEFF_BBN,ETA_SI_PER_MASS,DEL_SI_PER_MASS
8.62416,1e-07,0.666544,1,0.1,1,1,1,0.01,0.199564,1.4616e-08,0.00349831,0.00937681,1.18791e-06,4.3469e-05,4.07819e-08,4.07819e-08,3.81728e+16,1.43811e+22
8.22148,1e-07,0.666544,1,0.1,1,1,1,0.01,0.204568,1.43584e-08,0.00365036,0.00920507,1.09962e-06,0.000302667,3.66075e-08,3.66075e-08,4.73375e+16,1.50855e+22
7.81879,1e-07,0.666544,1,0.1,1,1,1,0.01,0.209296,1.41562e-08,0.00378807,0.0090286,1.01419e-06,0.00208816,3.26943e-08,3.26943e-08,5.93405e+16,1.58624e+22
8.8255,1e-07,0.666544,1,0.1,1,1,1,0.01,0.198448,1.46211e-08,0.00347753,0.00946104,1.23347e-06,1.64207e-05,4.29688e-08,4.29688e-08,3.44074e+16,1.4053e+22
7.01342,1e-07,0.666544,1,0.1,1,1,1,0.01,0.220915,1.36635e-08,0.00414256,0.00865957,8.52527e-07,0.0963689,2.5629e-08,2.5629e-08,9.6782e+16,1.7684e+22
9.02685,1e-07,0.666544,1,0.1,1,1,1,0.01,0.195016,1.486e-08,0.00336245,0.00954424,1.27917e-06,6.19047e-06,4.52232e-08,4.52232e-08,3.10862e+16,1.37396e+22
8.02013,1e-07,0.666544,1,0.1,1,1,1,0.01,0.207375,1.4214e-08,0.00373805,0.00911745,1.05662e-06,0.000795946,3.46186e-08,3.46186e-08,5.29252e+16,1.54642e+22
9.22819,1e-07,0.666544,1,0.1,1,1,1,0.01,0.193724,1.48923e-08,0.00333294,0.00962645,1.32615e-06,2.3292e-06,4.75456e-08,4.75456e-08,2.81485e+16,1.34398e+22
6.20805,1e-07,0.666544,1,0.1,1,1,1,0.01,0.234571,1.31662e-08,0.00456475,0.00826493,7.03027e-07,4.23897,1.95397e-08,1.95397e-08,1.67564e+17,1.99781e+22
7.41611,1e-07,0.666544,1,0.1,1,1,1,0.01,0.214427,1.39487e-08,0.00393868,0.00884695,9.31781e-07,0.0142633,2.90368e-08,2.90368e-08,7.52814e+16,1.67237e+22
9.42953,1e-07,0.666544,1,0.1,1,1,1,0.01,0.191757,1.49983e-08,0.00327578,0.00970771,1.37367e-06,8.74739e-07,4.99368e-08,4.99368e-08,2.55431e+16,1.31528e+22
5.40268,1e-07,0.666544,1,0.1,1,1,1,0.01,0.253506,1.25012e-08,0.00519568,0.00783797,5.66054e-07,175.754,1.43789e-08,1.43789e-08,3.13138e+17,2.29562e+22
7.61745,1e-07,0.666544,1,0.1,1,1,1,0.01,0.212569,1.39878e-08,0.00389362,0.00893845,9.72732e-07,0.0054646,3.08339e-08,3.08339e-08,6.67324e+16,1.62817e+22
6.4094,1e-07,0.666544,1,0.1,1,1,1,0.01,0.230767,1.33033e-08,0.00444446,0.00836631,7.39234e-07,1.65429,2.09731e-08,2.09731e-08,1.45145e+17,1.93505e+22
6.00671,1e-07,0.666544,1,0.1,1,1,1,0.01,0.239009,1.2997e-08,0.00471167,0.00816154,6.6763e-07,10.8223,1.81644e-08,1.81644e-08,1.94363e+17,2.06478e+22
5.80537,1e-07,0.666544,1,0.1,1,1,1,0.01,0.24293,1.28771e-08,0.00483355,0.00805602,6.32946e-07,27.5227,1.68463e-08,1.68463e-08,2.26592e+17,2.13639e+22
6.61074,1e-07,0.666544,1,0.1,1,1,1,0.01,0.226795,1.34655e-08,0.00431534,0.00846581,7.76171e-07,0.64337,2.24653e-08,2.24653e-08,1.26286e+17,1.87612e+22
6.81208,1e-07,0.666544,1,0.1,1,1,1,0.01,0.224121,1.35393e-08,0.00424123,0.00856353,8.14004e-07,0.24939,2.4017e-08,2.4017e-08,1.10337e+17,1.82066e+22
5.60403,1e-07,0.666544,1,0.1,1,1,1,0.01,0.246897,1.27663e-08,0.00495515,0.00794821,5.99031e-07,69.7051,1.55848e-08,1.55848e-08,2.656e+17,2.21314e+22
7.21477,1e-07,0.666544,1,0.1,1,1,1,0.01,0.21825,1.37535e-08,0.0040658,0.00875402,8.91867e-07,0.0371277,2.7302e-08,2.7302e-08,8.52079e+16,1.71905e+22
5.20134,1e-07,0.666544,1,0.1,1,1,1,0.01,0.258409,1.23624e-08,0.00535559,0.00772511,5.33728e-07,441.005,1.32281e-08,1.32281e-08,3.71501e+17,2.38448e+22
8.42282,1e-07,0.666544,1,0.1,1,1,1,0.01,0.201553,1.45316e-08,0.00355369,0.0092915,1.14329e-06,0.000114829,3.86617e-08,3.86617e-08,4.24542e+16,1.47249e+22
5,1e-07,0.666544,1,0.1,1,1,1,0.01,0.263415,1.2233e-08,0.00551711,0.00760944,5.02182e-07,1100.72,1.21314e-08,1.21314e-08,4.43726e+17,2.4805e+22
9.63087,1e-07,0.666544,1,0.1,1,1,1,0.01,0.189923,1.50962e-08,0.00322341,0.00978806,1.42194e-06,3.27918e-07,5.23975e-08,5.23975e-08,2.32265e+16,1.28779e+22
10.0336,1e-07,0.666544,1,0.1,1,1,1,0.01,0.187599,1.51627e-08,0.00317,0.00994616,1.5211e-06,4.58462e-08,5.75297e-08,5.75297e-08,1.93167e+16,1.2361e+22
9.83221,1e-07,0.666544,1,0.1,1,1,1,0.01,0.189224,1.50784e-08,0.00321534,0.00986753,1.47131e-06,1.22715e-07,5.49283e-08,5.49283e-08,2.11616e+16,1.26142e+22
10.2349,1e-07,0.666544,1,0.1,1,1,1,0.01,0.185405,1.53143e-08,0.0031019,0.010024,1.5714e-06,1.71005e-08,6.02029e-08,6.02029e-08,1.76646e+16,1.21179e+22
10.4362,1e-07,0.666544,1,0.1,1,1,1,0.01,0.18346,1.54453e-08,0.00304333,0.010101,1.62247e-06,6.3685e-09,6.29481e-08,6.29481e-08,1.6182e+16,1.18841e+22
10.6376,1e-07,0.666544,1,0.1,1,1,1,0.01,0.18219,1.5505e-08,0.00301064,0.0101773,1.67452e-06,2.36818e-09,6.57661e-08,6.57661e-08,1.48486e+16,1.16591e+22
11.443,1e-07,0.666544,1,0.1,1,1,1,0.01,0.177088,1.57833e-08,0.00287472,0.0104754,1.88982e-06,4.46506e-11,7.77794e-08,7.77794e-08,1.0692e+16,1.08386e+22
12.047,1e-07,0.666544,1,0.1,1,1,1,0.01,0.174132,1.59219e-08,0.00280213,0.0106922,2.05919e-06,2.24145e-12,8.75862e-08,8.75862e-08,8.48258e+15,1.02951e+22
12.4497,1e-07,0.666544,1,0.1,1,1,1,0.01,0.171823,1.60713e-08,0.00273927,0.0108339,2.17543e-06,3.03248e-13,9.45128e-08,9.45128e-08,7.31594e+15,9.96212e+21
11.0403,1e-07,0.666544,1,0.1,1,1,1,0.01,0.179244,1.56834e-08,0.00292826,0.0103277,1.78057e-06,3.26061e-10,7.16233e-08,7.16233e-08,1.25624e+16,1.12339e+22
12.2483,1e-07,0.666544,1,0.1,1,1,1,0.01,0.172154,1.60995e-08,0.00273974,0.0107633,2.11645e-06,8.24909e-13,9.101e-08,9.101e-08,7.8729e+15,1.01259e+22
11.6443,1e-07,0.666544,1,0.1,1,1,1,0.01,0.176426,1.57874e-08,0.00286324,0.0105483,1.94574e-06,1.64914e-11,8.09715e-08,8.09715e-08,9.88485e+15,1.06511e+22
11.8456,1e-07,0.666544,1,0.1,1,1,1,0.01,0.174676,1.59275e-08,0.00280989,0.0106206,2.00178e-06,6.08346e-12,8.42399e-08,8.42399e-08,9.15096e+15,1.04701e+22
10.8389,1e-07,0.666544,1,0.1,1,1,1,0.01,0.181608,1.54891e-08,0.00300408,0.0102529,1.72758e-06,8.79347e-10,6.86576e-08,6.86576e-08,1.36471e+16,1.14426e+22
11.2416,1e-07,0.666544,1,0.1,1,1,1,0.01,0.177769,1.57794e-08,0.00288649,0.0104019,1.83464e-06,1.20739e-10,7.46637e-08,7.46637e-08,1.15811e+16,1.10327e+22
