N,LAM,C,ADEL,LEC1,LEC2,MU_ETA,MU_DEL,XI_INF,XI_FO,TSM_FO,XI_CMB,XI_BBN,RD_ETA,RD_DEL,DNEFF_CMB,DNEFF_BBN,ETA_SI_PER_MASS,DEL_SI_PER_MASS
9.02685,1e-07,0.666544,1,1,0,1,1,0.01,0.279867,9.28753e-09,0.0077207,0.00954424,1.17269e-06,6.19046e-06,4.52232e-08,4.52232e-08,3.10862e+18,1.37396e+22
7.01342,1e-07,0.666544,1,1,0,1,1,0.01,0.319528,8.53969e-09,0.00958674,0.00865957,7.84424e-07,0.0963689,2.5629e-08,2.5629e-08,9.6782e+18,1.7684e+22
7.81879,1e-07,0.666544,1,1,0,1,1,0.01,0.30175,8.84768e-09,0.0087382,0.0090286,9.3171e-07,0.00208816,3.26943e-08,3.26943e-08,5.93405e+18,1.58624e+22
7.21477,1e-07,0.666544,1,1,0,1,1,0.01,0.315432,8.59598e-09,0.0094019,0.00875402,8.20277e-07,0.0371277,2.7302e-08,2.7302e-08,8.52079e+18,1.71905e+22
7.61745,1e-07,0.666544,1,1,0,1,1,0.01,0.306733,8.74243e-09,0.00898944,0.00893845,8.93944e-07,0.00546461,3.08339e-08,3.08339e-08,6.67324e+18,1.62817e+22
7.41611,1e-07,0.666544,1,1,0,1,1,0.01,0.309624,8.71798e-09,0.00909962,0.00884695,8.56667e-07,0.0142633,2.90368e-08,2.90368e-08,7.52814e+18,1.67237e+22
9.63087,1e-07,0.666544,1,1,0,1,1,0.01,0.271996,9.43516e-09,0.00738615,0.00978806,1.30231e-06,3.27918e-07,5.23975e-08,5.23975e-08,2.32265e+18,1.28779e+22
8.42282,1e-07,0.666544,1,1,0,1,1,0.01,0.2899,9.08229e-09,0.00817818,0.0092915,1.04919e-06,0.000114829,3.86617e-08,3.86617e-08,4.24542e+18,1.47249e+22
8.8255,1e-07,0.666544,1,1,0,1,1,0.01,0.282844,9.2301e-09,0.00785135,0.00946104,1.13083e-06,1.64207e-05,4.29688e-08,4.29688e-08,3.44074e+18,1.4053e+22
8.02013,1e-07,0.666544,1,1,0,1,1,0.01,0.298774,8.88374e-09,0.0086169,0.00911745,9.7031e-07,0.000795947,3.46186e-08,3.46186e-08,5.29252e+18,1.54642e+22
8.62416,1e-07,0.666544,1,1,0,1,1,0.01,0.286834,9.13503e-09,0.00804498,0.00937681,1.08974e-06,4.3469e-05,4.07819e-08,4.07819e-08,3.81728e+18,1.43811e+22
6.4094,1e-07,0.666544,1,1,0,1,1,0.01,0.337292,8.23187e-09,0.0104981,0.00836631,6.81204e-07,1.65429,2.09731e-08,2.09731e-08,1.45145e+19,1.93505e+22
6.00671,1e-07,0.666544,1,1,0,1,1,0.01,0.347533,8.11273e-09,0.0109757,0.00816154,6.15676e-07,10.8223,1.81644e-08,1.81644e-08,1.94363e+19,2.06478e+22
