N,LAM,C,ADEL,LEC1,LEC2,MU_ETA,MU_DEL,XI_INF,XI_FO,TSM_FO,XI_CMB,XI_BBN,RD_ETA,RD_DEL,DNEFF_CMB,DNEFF_BBN,ETA_SI_PER_MASS,DEL_SI_PER_MASS
9.63087,1e-07,0.666544,1,0.001,1,1,1,0.01,0.192803,1.47973e-08,0.00333839,0.00978806,1.41818e-06,3.27918e-07,5.23975e-08,5.23975e-08,2.32265e+12,1.28779e+22
9.42953,1e-07,0.666544,1,0.001,1,1,1,0.01,0.194671,1.47013e-08,0.00339274,0.00970771,1.37004e-06,8.74738e-07,4.99368e-08,4.99368e-08,2.55431e+12,1.31528e+22
9.02685,1e-07,0.666544,1,0.001,1,1,1,0.01,0.197992,1.45657e-08,0.00348273,0.00954424,1.27582e-06,6.19046e-06,4.52232e-08,4.52232e-08,3.10862e+12,1.37396e+22
7.21477,1e-07,0.666544,1,0.001,1,1,1,0.01,0.219945,1.36167e-08,0.00413855,0.00875402,8.89361e-07,0.0371277,2.7302e-08,2.7302e-08,8.52079e+12,1.71905e+22
7.81879,1e-07,0.666544,1,0.001,1,1,1,0.01,0.210909,1.40154e-08,0.00385563,0.0090286,1.0113e-06,0.00208816,3.26943e-08,3.26943e-08,5.93405e+12,1.58624e+22
8.22148,1e-07,0.666544,1,0.001,1,1,1,0.01,0.206137,1.42155e-08,0.00371533,0.00920507,1.09645e-06,0.000302667,3.66075e-08,3.66075e-08,4.73375e+12,1.50855e+22
8.8255,1e-07,0.666544,1,0.001,1,1,1,0.01,0.199961,1.44757e-08,0.00353925,0.00946104,1.22987e-06,1.64207e-05,4.29688e-08,4.29688e-08,3.44074e+12,1.4053e+22
7.41611,1e-07,0.666544,1,0.001,1,1,1,0.01,0.217762,1.36725e-08,0.00408073,0.00884695,9.29399e-07,0.0142633,2.90368e-08,2.90368e-08,7.52814e+12,1.67237e+22
8.42282,1e-07,0.666544,1,0.001,1,1,1,0.01,0.20465,1.42439e-08,0.00368119,0.0092915,1.14032e-06,0.000114829,3.86617e-08,3.86617e-08,4.24542e+12,1.47249e+22
8.62416,1e-07,0.666544,1,0.001,1,1,1,0.01,0.202624,1.43266e-08,0.00362371,0.00937681,1.18481e-06,4.3469e-05,4.07819e-08,4.07819e-08,3.81728e+12,1.43811e+22
6.61074,1e-07,0.666544,1,0.001,1,1,1,0.01,0.230356,1.31989e-08,0.00447165,0.00846581,7.74219e-07,0.643369,2.24653e-08,2.24653e-08,1.26286e+13,1.87612e+22
5.80537,1e-07,0.666544,1,0.001,1,1,1,0.01,0.246785,1.26221e-08,0.00500945,0.00805602,6.31383e-07,27.5226,1.68463e-08,1.68463e-08,2.26592e+13,2.13639e+22
8.02013,1e-07,0.666544,1,0.001,1,1,1,0.01,0.20897,1.40725e-08,0.00380466,0.00911745,1.0536e-06,0.000795945,3.46186e-08,3.46186e-08,5.29252e+12,1.54642e+22
