N,LAM,C,ADEL,LEC1,LEC2,MU_ETA,MU_DEL,XI_INF,XI_FO,TSM_FO,XI_CMB,XI_BBN,RD_ETA,RD_DEL,DNEFF_CMB,DNEFF_BBN,ETA_SI_PER_MASS,DEL_SI_PER_MASS
5,1e-07,1.5,1,0.1,1,1,1,0.01,0.263293,1.22401e-08,0.00551136,0.00770945,5.02176e-07,0.264255,1.22748e-08,1.22748e-08,4.43726e+17,2.4805e+22
6,1e-07,1.5,1,0.1,1,1,1,0.01,0.239163,1.29912e-08,0.00471681,0.00802374,6.66463e-07,0.000506146,1.78648e-08,1.78648e-08,1.95344e+17,2.06709e+22
7,1e-07,1.5,1,0.1,1,1,1,0.01,0.220549,1.37012e-08,0.00412431,0.00876317,8.4986e-07,8.79011e-07,2.58007e-08,2.58007e-08,9.76199e+16,1.77179e+22
8,1e-07,1.5,1,0.1,1,1,1,0.01,0.206499,1.4304e-08,0.00369883,0.00896937,1.05215e-06,1.41702e-09,3.39895e-08,3.39895e-08,5.35272e+16,1.55031e+22
9,1e-07,1.5,1,0.1,1,1,1,0.01,0.196387,1.47363e-08,0.00341452,0.00964833,1.27328e-06,2.15222e-12,4.5374e-08,4.5374e-08,3.15056e+16,1.37806e+22
10,1e-07,1.5,1,0.1,1,1,1,0.01,0.18718,1.52229e-08,0.0031504,0.00979303,1.51251e-06,3.11396e-15,5.64469e-08,5.64469e-08,1.96101e+16,1.24025e+22
11,1e-07,1.5,1,0.1,1,1,1,0.01,0.180442,1.5559e-08,0.00297139,0.0104302,1.77025e-06,4.32797e-18,7.16835e-08,7.16835e-08,1.27706e+16,1.1275e+22
12,1e-07,1.5,1,0.1,1,1,1,0.01,0.174406,1.59046e-08,0.00280959,0.0105369,2.04581e-06,5.81553e-21,8.59189e-08,8.59189e-08,8.63305e+15,1.03354e+22
13,1e-07,1.5,1,0.1,1,1,1,0.01,0.168621,1.63031e-08,0.00265,0.0111417,2.33871e-06,7.59281e-24,1.05381e-07,1.05381e-07,6.02191e+15,9.54039e+21
14,1e-07,1.5,1,0.1,1,1,1,0.01,0.163745,1.66562e-08,0.00251881,0.0112241,2.64921e-06,9.67061e-27,1.23052e-07,1.23052e-07,4.31423e+15,8.85894e+21
15,1e-07,1.5,1,0.1,1,1,1,0.01,0.160481,1.68388e-08,0.00244184,0.0118021,2.97813e-06,1.2054e-29,1.47089e-07,1.47089e-07,3.16278e+15,8.26834e+21
16,1e-07,1.5,1,0.1,1,1,1,0.01,0.157003,1.70988e-08,0.00235259,0.0118684,3.32373e-06,1.47427e-32,1.68466e-07,1.68466e-07,2.36559e+15,7.75157e+21
17,1e-07,1.5,1,0.1,1,1,1,0.01,0.154365,1.72709e-08,0.00229002,0.0124234,3.68714e-06,1.77309e-35,1.97409e-07,1.97409e-07,1.80078e+15,7.29559e+21
18,1e-07,1.5,1,0.1,1,1,1,0.01,0.152129,1.74119e-08,0.00223857,0.0124791,4.06787e-06,2.10079e-38,2.22759e-07,2.22759e-07,1.39237e+15,6.89028e+21
19,1e-07,1.5,1,0.1,1,1,1,0.01,0.14943,1.76617e-08,0.00216775,0.0130138,4.46434e-06,2.45581e-41,2.56923e-07,2.56923e-07,1.09166e+15,6.52764e+21
20,1e-07,1.5,1,0.1,1,1,1,0.01,0.147456,1.78176e-08,0.00212041,0.0130626,4.87852e-06,2.83624e-44,2.8651e-07,2.8651e-07,8.66652e+14,6.20126e+21
21,1e-07,1.5,1,0.1,1,1,1,0.01,0.145488,1.79983e-08,0.00207109,0.0135791,5.309e-06,3.23979e-47,3.26198e-07,3.26198e-07,6.95813e+14,5.90596e+21
22,1e-07,1.5,1,0.1,1,1,1,0.01,0.143816,1.81485e-08,0.00203036,0.0136236,5.75637e-06,3.66386e-50,3.60282e-07,3.60282e-07,5.64388e+14,5.6375e+21
23,1e-07,1.5,1,0.1,1,1,1,0.01,0.142634,1.82258e-08,0.00200513,0.0141235,6.22133e-06,4.10565e-53,4.05787e-07,4.05787e-07,4.62066e+14,5.3924e+21
24,1e-07,1.5,1,0.1,1,1,1,0.01,0.140897,1.84289e-08,0.00195887,0.0141654,6.70053e-06,4.56211e-56,4.44629e-07,4.44629e-07,3.8153e+14,5.16771e+21
25,1e-07,1.5,1,0.1,1,1,1,0.01,0.139961,1.84913e-08,0.0019393,0.0146502,7.19842e-06,5.03016e-59,4.96232e-07,4.96232e-07,3.17504e+14,4.961e+21
26,1e-07,1.5,1,0.1,1,1,1,0.01,0.138715,1.8631e-08,0.00190762,0.0146907,7.71101e-06,5.50662e-62,5.40086e-07,5.40086e-07,2.66134e+14,4.7702e+21
27,1e-07,1.5,1,0.1,1,1,1,0.01,0.137888,1.86982e-08,0.00188942,0.0151616,8.24115e-06,5.98826e-65,5.98062e-07,5.98062e-07,2.24565e+14,4.59352e+21
28,1e-07,1.5,1,0.1,1,1,1,0.01,0.137317,1.87225e-08,0.00187917,0.0152018,8.78835e-06,6.47192e-68,6.47183e-07,6.47183e-07,1.90664e+14,4.42947e+21
29,1e-07,1.5,1,0.1,1,1,1,0.01,0.136333,1.88458e-08,0.00185349,0.0156597,9.34918e-06,6.95441e-71,7.11803e-07,7.11803e-07,1.62813e+14,4.27673e+21
30,1e-07,1.5,1,0.1,1,1,1,0.01,0.135993,1.88398e-08,0.00184945,0.0157002,9.9291e-06,7.43271e-74,7.66441e-07,7.66441e-07,1.39776e+14,4.13417e+21
31,1e-07,1.5,1,0.1,1,1,1,0.01,0.134955,1.89968e-08,0.00182018,0.0161461,1.05205e-05,7.90398e-77,8.37965e-07,8.37965e-07,1.20601e+14,4.00081e+21
32,1e-07,1.5,1,0.1,1,1,1,0.01,0.134538,1.90247e-08,0.00181188,0.0161873,1.11311e-05,8.36544e-80,8.98366e-07,8.98366e-07,1.04545e+14,3.87578e+21
33,1e-07,1.5,1,0.1,1,1,1,0.01,0.13394,1.91018e-08,0.00179656,0.0166221,1.17558e-05,8.81438e-83,9.77052e-07,9.77052e-07,9.10263e+13,3.75834e+21
34,1e-07,1.5,1,0.1,1,1,1,0.01,0.133796,1.90813e-08,0.00179655,0.0166644,1.23992e-05,9.24875e-86,1.04347e-06,1.04347e-06,7.95838e+13,3.6478e+21
35,1e-07,1.5,1,0.1,1,1,1,0.01,0.133377,1.91312e-08,0.00178625,0.0170887,1.30559e-05,9.66605e-89,1.12956e-06,1.12956e-06,6.98511e+13,3.54357e+21
36,1e-07,1.5,1,0.1,1,1,1,0.01,0.133028,1.91709e-08,0.0017779,0.0171323,1.37282e-05,1.00645e-91,1.20223e-06,1.20223e-06,6.15345e+13,3.44514e+21
37,1e-07,1.5,1,0.1,1,1,1,0.01,0.132354,1.92955e-08,0.00175746,0.0175468,1.44127e-05,1.04427e-94,1.29599e-06,1.29599e-06,5.43966e+13,3.35203e+21
38,1e-07,1.5,1,0.1,1,1,1,0.01,0.132603,1.92026e-08,0.00176929,0.0175919,1.51207e-05,1.07985e-97,1.37516e-06,1.37516e-06,4.82451e+13,3.26382e+21
39,1e-07,1.5,1,0.1,1,1,1,0.01,0.131986,1.93257e-08,0.00174983,0.0179971,1.58355e-05,1.11305e-100,1.47682e-06,1.47682e-06,4.29229e+13,3.18013e+21
40,1e-07,1.5,1,0.1,1,1,1,0.01,0.132007,1.9297e-08,0.00175271,0.0180439,1.65715e-05,1.14389e-103,1.56272e-06,1.56272e-06,3.8301e+13,3.10063e+21
41,1e-07,1.5,1,0.1,1,1,1,0.01,0.131559,1.93898e-08,0.00173841,0.0184404,1.73172e-05,1.17216e-106,1.67253e-06,1.67253e-06,3.4273e+13,3.025e+21
42,1e-07,1.5,1,0.1,1,1,1,0.01,0.131611,1.93616e-08,0.00174163,0.0184888,1.80834e-05,1.19776e-109,1.7654e-06,1.7654e-06,3.07509e+13,2.95298e+21
43,1e-07,1.5,1,0.1,1,1,1,0.01,0.131469,1.93865e-08,0.00173751,0.0188772,1.8862e-05,1.22084e-112,1.8836e-06,1.8836e-06,2.76612e+13,2.8843e+21
44,1e-07,1.5,1,0.1,1,1,1,0.01,0.131561,1.93552e-08,0.00174154,0.0189273,1.96582e-05,1.24113e-115,1.98367e-06,1.98367e-06,2.49426e+13,2.81875e+21
45,1e-07,1.5,1,0.1,1,1,1,0.01,0.131675,1.93213e-08,0.00174611,0.0193079,2.04694e-05,1.25888e-118,2.11048e-06,2.11048e-06,2.25436e+13,2.75611e+21
46,1e-07,1.5,1,0.1,1,1,1,0.01,0.13127,1.94254e-08,0.0017314,0.0193598,2.12881e-05,1.27388e-121,2.21799e-06,2.21799e-06,2.04206e+13,2.6962e+21
47,1e-07,1.5,1,0.1,1,1,1,0.01,0.131,1.94991e-08,0.00172132,0.0197331,2.21227e-05,1.28615e-124,2.35366e-06,2.35366e-06,1.8537e+13,2.63883e+21
48,1e-07,1.5,1,0.1,1,1,1,0.01,0.131298,1.94259e-08,0.00173174,0.0197866,2.29801e-05,1.2959e-127,2.46884e-06,2.46884e-06,1.68614e+13,2.58386e+21
49,1e-07,1.5,1,0.1,1,1,1,0.01,0.131185,1.94645e-08,0.00172682,0.020153,2.38456e-05,1.30323e-130,2.61358e-06,2.61358e-06,1.53673e+13,2.53112e+21
50,1e-07,1.5,1,0.1,1,1,1,0.01,0.131387,1.94218e-08,0.00173328,0.0202082,2.47304e-05,1.30791e-133,2.73666e-06,2.73666e-06,1.40318e+13,2.4805e+21
51,1e-07,1.5,1,0.1,1,1,1,0.01,0.131257,1.94711e-08,0.00172718,0.020568,2.56238e-05,1.31013e-136,2.8907e-06,2.8907e-06,1.28355e+13,2.43186e+21
52,1e-07,1.5,1,0.1,1,1,1,0.01,0.131178,1.95096e-08,0.00172272,0.0206249,2.6532e-05,1.31011e-139,3.02191e-06,3.02191e-06,1.17616e+13,2.3851e+21
53,1e-07,1.5,1,0.1,1,1,1,0.01,0.131884,1.93369e-08,0.00174747,0.0209784,2.74684e-05,1.30758e-142,3.18548e-06,3.18548e-06,1.07954e+13,2.3401e+21
54,1e-07,1.5,1,0.1,1,1,1,0.01,0.131458,1.94745e-08,0.00172952,0.0210369,2.83983e-05,1.30313e-145,3.32503e-06,3.32503e-06,9.92448e+12,2.29676e+21
55,1e-07,1.5,1,0.1,1,1,1,0.01,0.132162,1.93052e-08,0.00175403,0.0213845,2.93634e-05,1.29669e-148,3.49836e-06,3.49836e-06,9.13792e+12,2.255e+21
56,1e-07,1.5,1,0.1,1,1,1,0.01,0.131763,1.94409e-08,0.00173653,0.0214446,3.03211e-05,1.28812e-151,3.64648e-06,3.64648e-06,8.42623e+12,2.21473e+21
57,1e-07,1.5,1,0.1,1,1,1,0.01,0.132041,1.93921e-08,0.00174457,0.0217865,3.13058e-05,1.27753e-154,3.82979e-06,3.82979e-06,7.78113e+12,2.17588e+21
58,1e-07,1.5,1,0.1,1,1,1,0.01,0.132173,1.93854e-08,0.00174692,0.0218481,3.23014e-05,1.26558e-157,3.9867e-06,3.9867e-06,7.19538e+12,2.13836e+21
59,1e-07,1.5,1,0.1,1,1,1,0.01,0.132174,1.94177e-08,0.00174402,0.0221846,3.33077e-05,1.25205e-160,4.18019e-06,4.18019e-06,6.66263e+12,2.10212e+21
60,1e-07,1.5,1,0.1,1,1,1,0.01,0.132638,1.93217e-08,0.00175884,0.0222477,3.43379e-05,1.23636e-163,4.34613e-06,4.34613e-06,6.1773e+12,2.06709e+21
61,1e-07,1.5,1,0.1,1,1,1,0.01,0.132802,1.93113e-08,0.00176197,0.022579,3.53751e-05,1.21965e-166,4.55002e-06,4.55002e-06,5.7345e+12,2.0332e+21
62,1e-07,1.5,1,0.1,1,1,1,0.01,0.133016,1.92887e-08,0.00176687,0.0226437,3.6427e-05,1.20175e-169,4.72519e-06,4.72519e-06,5.32987e+12,2.0004e+21
63,1e-07,1.5,1,0.1,1,1,1,0.01,0.132909,1.93585e-08,0.00175909,0.02297,3.74844e-05,1.18307e-172,4.93972e-06,4.93972e-06,4.95961e+12,1.96865e+21
64,1e-07,1.5,1,0.1,1,1,1,0.01,0.133155,1.93297e-08,0.00176497,0.023036,3.85638e-05,1.16276e-175,5.12433e-06,5.12433e-06,4.6203e+12,1.93789e+21
65,1e-07,1.5,1,0.1,1,1,1,0.01,0.133479,1.92801e-08,0.00177381,0.0233576,3.96586e-05,1.14106e-178,5.34969e-06,5.34969e-06,4.30893e+12,1.90808e+21
66,1e-07,1.5,1,0.1,1,1,1,0.01,0.133663,1.92718e-08,0.00177702,0.023425,4.0763e-05,1.11911e-181,5.54397e-06,5.54397e-06,4.02283e+12,1.87917e+21
