# L1 = 1, c = 0.5, a = 1, mu_eta = 1, mu_delta = 1, xi_inf = 0.01, has_dp = 1
LAMBDA, N, RD_ETA, RD_DELTA, (SIG_ETA / M_ETA), (SIG_DELTA / M_DELTA), DELTA_NEFF_CMB, DELTA_NEFF_BBN
1e-07, 5, 1.31645e-11, 9.96249e+13, 2.05555e+10, 9.32548e+21, 7.27884e-08, 5.73115e-08
1e-07, 6, 2.83115e-11, 9.88015e+11, 7.54103e+09, 1.93373e+22, 1.12206e-07, 1.08178e-07
1e-07, 7, 5.41321e-11, 9.28395e+09, 3.23016e+09, 3.58248e+22, 1.62581e-07, 1.56985e-07
1e-07, 8, 9.47423e-11, 8.37763e+07, 1.54977e+09, 6.11155e+22, 2.24945e-07, 2.59979e-07
1e-07, 9, 1.55371e-10, 732006, 8.10829e+08, 9.78952e+22, 3.0029e-07, 3.40939e-07
1e-07, 10, 2.41735e-10, 6233.43, 4.54217e+08, 1.49208e+23, 3.89572e-07, 5.23608e-07
1e-07, 11, 3.59792e-10, 51.9589, 2.68908e+08, 2.18455e+23, 4.93714e-07, 6.43946e-07
1e-07, 12, 5.1768e-10, 0.425543, 1.66635e+08, 3.09397e+23, 6.13613e-07, 9.39437e-07
1e-07, 13, 7.22724e-10, 0.00343329, 1.07294e+08, 4.26152e+23, 7.50139e-07, 1.10458e-06
1e-07, 14, 9.8504e-10, 2.72907e-05, 7.13772e+07, 5.73197e+23, 9.04142e-07, 1.55195e-06
1e-07, 15, 1.31142e-09, 2.01047e-07, 4.88384e+07, 7.55364e+23, 1.07645e-06, 1.76524e-06
1e-07, 16, 1.71567e-09, 1.55647e-09, 3.42455e+07, 9.77848e+23, 1.26788e-06, 2.4096e-06
1e-07, 17, 2.20429e-09, 1.19483e-11, 2.45355e+07, 1.2462e+24, 1.47921e-06, 2.67192e-06
1e-07, 18, 2.7907e-09, 9.10447e-14, 1.7917e+07, 1.56632e+24, 1.71124e-06, 3.56457e-06
1e-07, 19, 3.49146e-09, 6.89142e-16, 1.33082e+07, 1.94449e+24, 1.96472e-06, 3.87407e-06
