N,LAM,C,ADEL,LEC1,LEC2,MU_ETA,MU_DEL,XI_INF,XI_FO,TSM_FO,XI_CMB,XI_BBN,RD_ETA,RD_DEL,DNEFF_CMB,DNEFF_BBN,ETA_SI_PER_MASS,DEL_SI_PER_MASS
8.8255,1e-06,0.001,1,0.1,1,1,1,0.01,0.156099,2.01352e-07,0.000198632,0.0161226,1.31182e-05,2.07624,7.74216e-08,7.74216e-08,3.44074e+13,1.4053e+19
7.21477,1e-06,0.001,1,0.1,1,1,1,0.01,0.170632,1.89711e-07,0.000230448,0.0141214,9.46528e-06,550.101,4.67628e-08,4.67628e-08,8.52079e+13,1.71905e+19
8.22148,1e-06,0.001,1,0.1,1,1,1,0.01,0.160636,1.97733e-07,0.000208145,0.0153832,1.16861e-05,17.1267,6.47888e-08,6.47888e-08,4.73375e+13,1.50855e+19
7.81879,1e-06,0.001,1,0.1,1,1,1,0.01,0.164037,1.95132e-07,0.000215386,0.0148831,1.07723e-05,69.1331,5.71364e-08,5.71364e-08,5.93405e+13,1.58624e+19
9.02685,1e-06,0.001,1,0.1,1,1,1,0.01,0.154653,2.02605e-07,0.000195574,0.0163664,1.36116e-05,1.0233,8.19502e-08,8.19502e-08,3.10862e+13,1.37396e+19
7.41611,1e-06,0.001,1,0.1,1,1,1,0.01,0.168001,1.92047e-07,0.000224135,0.0143769,9.89196e-06,276.285,5.00766e-08,5.00766e-08,7.52814e+13,1.67237e+19
8.02013,1e-06,0.001,1,0.1,1,1,1,0.01,0.162576,1.96e-07,0.000212522,0.0151339,1.1226e-05,34.4507,6.08872e-08,6.08872e-08,5.29252e+13,1.54642e+19
6.81208,1e-06,0.001,1,0.1,1,1,1,0.01,0.174543,1.87399e-07,0.000238638,0.0136051,8.63291e-06,2161.9,4.05543e-08,4.05543e-08,1.10337e+14,1.82066e+19
8.62416,1e-06,0.001,1,0.1,1,1,1,0.01,0.158073,1.99278e-07,0.000203236,0.0158775,1.26346e-05,4.20409,7.30534e-08,7.30534e-08,3.81728e+13,1.43811e+19
7.01342,1e-06,0.001,1,0.1,1,1,1,0.01,0.173226,1.87587e-07,0.000236601,0.0138641,9.04636e-06,1092.16,4.35895e-08,4.35895e-08,9.6782e+13,1.7684e+19
6.61074,1e-06,0.001,1,0.1,1,1,1,0.01,0.177856,1.84543e-07,0.000246931,0.0133442,8.23146e-06,4266.04,3.76546e-08,3.76546e-08,1.26286e+14,1.87612e+19
6.4094,1e-06,0.001,1,0.1,1,1,1,0.01,0.180642,1.82591e-07,0.00025348,0.0130815,7.837e-06,8390.43,3.48879e-08,3.48879e-08,1.45145e+14,1.93505e+19
8.42282,1e-06,0.001,1,0.1,1,1,1,0.01,0.15956,1.98128e-07,0.00020634,0.015631,1.21571e-05,8.49475,6.88434e-08,6.88434e-08,4.24542e+13,1.47249e+19
6.20805,1e-06,0.001,1,0.1,1,1,1,0.01,0.183427,1.80797e-07,0.000259942,0.0128167,7.45065e-06,16445.2,3.22515e-08,3.22515e-08,1.67564e+14,1.99781e+19
7.61745,1e-06,0.001,1,0.1,1,1,1,0.01,0.167033,1.91974e-07,0.000222928,0.0146308,1.03308e-05,138.385,5.35336e-08,5.35336e-08,6.67324e+13,1.62817e+19
9.42953,1e-06,0.001,1,0.1,1,1,1,0.01,0.152227,2.0449e-07,0.000190732,0.0168502,1.4624e-05,0.24714,9.14981e-08,9.14981e-08,2.55431e+13,1.31528e+19
9.22819,1e-06,0.001,1,0.1,1,1,1,0.01,0.153702,2.03045e-07,0.000193951,0.0166089,1.4115e-05,0.503361,8.66415e-08,8.66415e-08,2.81485e+13,1.34398e+19
9.63087,1e-06,0.001,1,0.1,1,1,1,0.01,0.150854,2.05825e-07,0.000187786,0.0170902,1.51411e-05,0.121122,9.65219e-08,9.65219e-08,2.32265e+13,1.28779e+19
5.80537,1e-06,0.001,1,0.1,1,1,1,0.01,0.189656,1.7688e-07,0.000274722,0.0122808,6.70334e-06,62471.1,2.73594e-08,2.73594e-08,2.26592e+14,2.13639e+19
5.60403,1e-06,0.001,1,0.1,1,1,1,0.01,0.192382,1.75644e-07,0.000280632,0.0120095,6.34159e-06,121021,2.50983e-08,2.50983e-08,2.656e+14,2.21314e+19
6.00671,1e-06,0.001,1,0.1,1,1,1,0.01,0.18632,1.79026e-07,0.000266654,0.0125498,7.07261e-06,32114.3,2.9743e-08,2.9743e-08,1.94363e+14,2.06478e+19
5.40268,1e-06,0.001,1,0.1,1,1,1,0.01,0.196097,1.73427e-07,0.000289708,0.0117358,5.98923e-06,233407,2.2957e-08,2.2957e-08,3.13138e+14,2.29562e+19
5.20134,1e-06,0.001,1,0.1,1,1,1,0.01,0.200272,1.70921e-07,0.000300213,0.0114596,5.64554e-06,447982,2.09326e-08,2.09326e-08,3.71501e+14,2.38448e+19
5,1e-06,0.001,1,0.1,1,1,1,0.01,0.204833,1.68257e-07,0.000311913,0.0111807,5.31042e-06,855248,1.90226e-08,1.90226e-08,4.43726e+14,2.4805e+19
9.83221,1e-06,0.001,1,0.1,1,1,1,0.01,0.149264,2.07648e-07,0.000184175,0.0173291,1.56648e-05,0.0592581,1.01716e-07,1.01716e-07,2.11616e+13,1.26142e+19
10.0336,1e-06,0.001,1,0.1,1,1,1,0.01,0.148063,2.08809e-07,0.000181677,0.0175669,1.61983e-05,0.0289432,1.07082e-07,1.07082e-07,1.93167e+13,1.2361e+19
10.2349,1e-06,0.001,1,0.1,1,1,1,0.01,0.147493,2.088e-07,0.000180987,0.0178035,1.67432e-05,0.0141138,1.12623e-07,1.12623e-07,1.76646e+13,1.21179e+19
10.6376,1e-06,0.001,1,0.1,1,1,1,0.01,0.145092,2.11399e-07,0.000175851,0.0182735,1.78489e-05,0.00334069,1.24238e-07,1.24238e-07,1.48486e+13,1.16591e+19
10.4362,1e-06,0.001,1,0.1,1,1,1,0.01,0.146031,2.10585e-07,0.000177673,0.0180391,1.72906e-05,0.00687173,1.18341e-07,1.18341e-07,1.6182e+13,1.18841e+19
10.8389,1e-06,0.001,1,0.1,1,1,1,0.01,0.144685,2.11183e-07,0.000175537,0.018507,1.84185e-05,0.00162172,1.30317e-07,1.30317e-07,1.36471e+13,1.14426e+19
11.0403,1e-06,0.001,1,0.1,1,1,1,0.01,0.142895,2.13831e-07,0.000171219,0.0187394,1.89863e-05,0.000786152,1.36579e-07,1.36579e-07,1.25624e+13,1.12339e+19
11.2416,1e-06,0.001,1,0.1,1,1,1,0.01,0.142819,2.12999e-07,0.000171795,0.0189709,1.95741e-05,0.000380581,1.43028e-07,1.43028e-07,1.15811e+13,1.10327e+19
11.443,1e-06,0.001,1,0.1,1,1,1,0.01,0.14131,2.15194e-07,0.000168247,0.0192014,2.01589e-05,0.000184001,1.49665e-07,1.49665e-07,1.0692e+13,1.08386e+19
