N,LAM,C,ADEL,LEC1,LEC2,MU_ETA,MU_DEL,XI_INF,XI_FO,TSM_FO,XI_CMB,XI_BBN,RD_ETA,RD_DEL,DNEFF_CMB,DNEFF_BBN,ETA_SI_PER_MASS,DEL_SI_PER_MASS
5,0.001,0.001,1,0.1,1,1,1,0.01,0.0814547,0.000542069,3.85004e-08,0.0150266,0.0054726,943686,4.86125e-132,4.86125e-132,443726,2.4805e+10
6,0.001,0.001,1,0.1,1,1,1,0.01,0.0805621,0.000544197,3.79297e-08,0.0148038,0.00756361,36155.6,1.16022e-122,1.16022e-122,195344,2.06709e+10
7,0.001,0.001,1,0.1,1,1,1,0.01,0.074689,0.000540343,3.54154e-08,0.0138225,0.00996128,1257.03,8.87938e-122,8.87938e-122,97619.9,1.77179e+10
8,0.001,0.001,1,0.1,1,1,1,0.01,0.0764597,0.000543677,3.60327e-08,0.0140634,0.0125686,40.5919,2.88718e-112,2.88718e-112,53527.2,1.55031e+10
9,0.001,0.001,1,0.1,1,1,1,0.01,0.0768876,0.000545594,3.6107e-08,0.0140925,0.0154535,1.23557,7.14997e-106,7.14997e-106,31505.6,1.37806e+10
10,0.001,0.001,1,0.1,1,1,1,0.01,0.074208,0.000543655,3.49729e-08,0.0136498,0.0186148,0.0358318,7.72385e-104,7.72385e-104,19610.1,1.24025e+10
11,0.001,0.001,1,0.1,1,1,1,0.01,0.0718659,0.000542153,3.3963e-08,0.0132556,0.0220431,0.000997713,4.43339e-102,4.43339e-102,12770.6,1.1275e+10
12,0.001,0.001,1,0.1,1,1,1,0.01,0.075005,0.000546039,3.51942e-08,0.0137362,0.0256506,2.68734e-05,1.37216e-94,1.37216e-94,8633.05,1.03354e+10
13,0.001,0.001,1,0.1,1,1,1,0.01,0.0731927,0.000544564,3.44369e-08,0.0134406,0.0295596,7.03209e-07,5.39717e-93,5.39717e-93,6021.91,9.54039e+09
14,0.001,0.001,1,0.1,1,1,1,0.01,0.0710515,0.000542885,3.35328e-08,0.0130878,0.0337382,1.79469e-08,4.03938e-92,4.03938e-92,4314.23,8.85894e+09
15,0.001,0.001,1,0.1,1,1,1,0.01,0.0723463,0.000544393,3.40493e-08,0.0132894,0.0380864,4.48463e-10,7.69399e-88,7.69399e-88,3162.78,8.26834e+09
16,0.001,0.001,1,0.1,1,1,1,0.01,0.0738115,0.000546086,3.46312e-08,0.0135165,0.0426763,1.09944e-11,8.21628e-84,8.21628e-84,2365.59,7.75157e+09
17,0.001,0.001,1,0.1,1,1,1,0.01,0.0704433,0.000543042,3.32362e-08,0.012972,0.0476084,2.65004e-13,9.60005e-85,9.60005e-85,1800.78,7.29559e+09
18,0.001,0.001,1,0.1,1,1,1,0.01,0.0718392,0.000544381,3.38114e-08,0.0131965,0.0526453,6.29328e-15,3.9177e-81,3.9177e-81,1392.37,6.89028e+09
19,0.001,0.001,1,0.1,1,1,1,0.01,0.0730404,0.000545545,3.43034e-08,0.0133885,0.0579206,1.47465e-16,5.31297e-78,5.31297e-78,1091.66,6.52764e+09
20,0.001,0.001,1,0.1,1,1,1,0.01,0.0740171,0.000546476,3.47029e-08,0.0135444,0.0634323,3.41409e-18,2.65751e-75,2.65751e-75,866.652,6.20126e+09
21,0.001,0.001,1,0.1,1,1,1,0.01,0.0745915,0.000546977,3.49401e-08,0.013637,0.0691761,7.81867e-20,4.03483e-73,4.03483e-73,695.813,5.90596e+09
22,0.001,0.001,1,0.1,1,1,1,0.01,0.0724399,0.000544911,3.4061e-08,0.0132939,0.0752101,1.77264e-21,2.56577e-73,2.56577e-73,564.388,5.6375e+09
23,0.001,0.001,1,0.1,1,1,1,0.01,0.0754817,0.000547607,3.53165e-08,0.0137839,0.0813218,3.98124e-23,2.30025e-69,2.30025e-69,462.066,5.3924e+09
24,0.001,0.001,1,0.1,1,1,1,0.01,0.0740111,0.000546085,3.47249e-08,0.013553,0.0877468,8.86543e-25,4.12459e-69,4.12459e-69,381.53,5.16771e+09
25,0.001,0.001,1,0.1,1,1,1,0.01,0.0748751,0.000546704,3.50905e-08,0.0136957,0.0943317,1.95913e-26,3.88671e-67,3.88671e-67,317.504,4.961e+09
26,0.001,0.001,1,0.1,1,1,1,0.01,0.0750163,0.000546654,3.51599e-08,0.0137228,0.101144,4.29906e-28,8.39705e-66,8.39705e-66,266.134,4.7702e+09
27,0.001,0.001,1,0.1,1,1,1,0.01,0.0749478,0.000546411,3.51434e-08,0.0137164,0.10817,9.3722e-30,1.08442e-64,1.08442e-64,224.565,4.59352e+09
28,0.001,0.001,1,0.1,1,1,1,0.01,0.073329,0.000544934,3.44775e-08,0.0134565,0.115509,2.03071e-31,8.81632e-65,8.81632e-65,190.664,4.42947e+09
29,0.001,0.001,1,0.1,1,1,1,0.01,0.0729073,0.000544465,3.43088e-08,0.0133906,0.122998,4.37469e-33,4.88938e-64,4.88938e-64,162.813,4.27673e+09
