N,LAM,C,ADEL,LEC1,LEC2,MU_ETA,MU_DEL,XI_INF,XI_FO,TSM_FO,XI_CMB,XI_BBN,RD_ETA,RD_DEL,DNEFF_CMB,DNEFF_BBN,ETA_SI_PER_MASS,DEL_SI_PER_MASS
9.02685,0.0001,0.001,1,0.1,1,1,1,0.01,0.0998497,3.72425e-05,6.86931e-07,0.0534928,0.00155263,1.12155,2.93527e-07,2.93527e-07,3.10862e+07,1.37396e+13
8.42282,0.0001,0.001,1,0.1,1,1,1,0.01,0.101688,3.68798e-05,7.06458e-07,0.0536679,0.00138409,9.31087,2.59693e-07,2.59693e-07,4.24542e+07,1.47249e+13
8.8255,0.0001,0.001,1,0.1,1,1,1,0.01,0.10031,3.71915e-05,6.91045e-07,0.0535448,0.00149537,2.27563,2.8201e-07,2.8201e-07,3.44074e+07,1.4053e+13
6.4094,0.0001,0.001,1,0.1,1,1,1,0.01,0.112297,3.44591e-05,8.34969e-07,0.0547866,0.000886843,9198.42,1.62099e-07,1.62099e-07,1.45145e+08,1.93505e+13
6.00671,0.0001,0.001,1,0.1,1,1,1,0.01,0.115871,3.36199e-05,8.83044e-07,0.0551482,0.000799427,35209.2,1.45318e-07,1.45318e-07,1.94363e+08,2.06478e+13
9.42953,0.0001,0.001,1,0.1,1,1,1,0.01,0.0980352,3.7864e-05,6.63377e-07,0.0534061,0.00166904,0.270858,3.17279e-07,3.17279e-07,2.55431e+07,1.31528e+13
6.61074,0.0001,0.001,1,0.1,1,1,1,0.01,0.111658,3.44376e-05,8.30735e-07,0.0546269,0.000932459,4676.77,1.70827e-07,1.70827e-07,1.26286e+08,1.87612e+13
8.22148,0.0001,0.001,1,0.1,1,1,1,0.01,0.102994,3.64305e-05,7.24357e-07,0.0537397,0.00133035,18.7724,2.48889e-07,2.48889e-07,4.73375e+07,1.50855e+13
8.62416,0.0001,0.001,1,0.1,1,1,1,0.01,0.101077,3.6989e-05,7.00138e-07,0.0536031,0.00143933,4.60791,2.70733e-07,2.70733e-07,3.81728e+07,1.43811e+13
9.22819,0.0001,0.001,1,0.1,1,1,1,0.01,0.0990206,3.75024e-05,6.76505e-07,0.0534467,0.00161047,0.551681,3.05282e-07,3.05282e-07,2.81485e+07,1.34398e+13
7.41611,0.0001,0.001,1,0.1,1,1,1,0.01,0.106609,3.56153e-05,7.66944e-07,0.0541062,0.00112343,302.861,2.08012e-07,2.08012e-07,7.52814e+07,1.67237e+13
8.02013,0.0001,0.001,1,0.1,1,1,1,0.01,0.103437,3.64312e-05,7.27459e-07,0.053819,0.00127687,37.7618,2.3832e-07,2.3832e-07,5.29252e+07,1.54642e+13
5.80537,0.0001,0.001,1,0.1,1,1,1,0.01,0.117251,3.3407e-05,8.99254e-07,0.0553524,0.000757013,68493.4,1.37263e-07,1.37263e-07,2.26592e+08,2.13639e+13
6.20805,0.0001,0.001,1,0.1,1,1,1,0.01,0.113912,3.40927e-05,8.56077e-07,0.05496,0.000842601,18029.2,1.53596e-07,1.53596e-07,1.67564e+08,1.99781e+13
5.60403,0.0001,0.001,1,0.1,1,1,1,0.01,0.119552,3.28739e-05,9.31772e-07,0.0555741,0.000715842,132691,1.2943e-07,1.2943e-07,2.656e+08,2.21314e+13
7.61745,0.0001,0.001,1,0.1,1,1,1,0.01,0.105151,3.60604e-05,7.47117e-07,0.0540017,0.00117338,151.691,2.17883e-07,2.17883e-07,6.67324e+07,1.62817e+13
6.81208,0.0001,0.001,1,0.1,1,1,1,0.01,0.109889,3.49199e-05,8.06278e-07,0.0544799,0.000978543,2370.03,1.79781e-07,1.79781e-07,1.10337e+08,1.82066e+13
5.20134,0.0001,0.001,1,0.1,1,1,1,0.01,0.123454,3.21849e-05,9.8278e-07,0.0560762,0.000636183,491195,1.14426e-07,1.14426e-07,3.71501e+08,2.38448e+13
7.21477,0.0001,0.001,1,0.1,1,1,1,0.01,0.107913,3.52682e-05,7.83966e-07,0.0542203,0.0010743,603.032,1.98372e-07,1.98372e-07,8.52079e+07,1.71905e+13
7.81879,0.0001,0.001,1,0.1,1,1,1,0.01,0.104332,3.62198e-05,7.38036e-07,0.0539062,0.00122468,75.7786,2.27984e-07,2.27984e-07,5.93405e+07,1.58624e+13
5.40268,0.0001,0.001,1,0.1,1,1,1,0.01,0.120877,3.27378e-05,9.46019e-07,0.0558147,0.000675367,255916,1.21818e-07,1.21818e-07,3.13138e+08,2.29562e+13
5,0.0001,0.001,1,0.1,1,1,1,0.01,0.125198,3.19637e-05,1.00356e-06,0.0563604,0.000597779,937768,1.07254e-07,1.07254e-07,4.43726e+08,2.4805e+13
9.63087,0.0001,0.001,1,0.1,1,1,1,0.01,0.0977623,3.78398e-05,6.61953e-07,0.0533709,0.00172932,0.132742,3.29518e-07,3.29518e-07,2.32265e+07,1.28779e+13
7.01342,0.0001,0.001,1,0.1,1,1,1,0.01,0.108981,3.50496e-05,7.96658e-07,0.0543446,0.00102598,1197.28,1.88962e-07,1.88962e-07,9.6782e+07,1.7684e+13
10.0336,0.0001,0.001,1,0.1,1,1,1,0.01,0.09636,3.83032e-05,6.44564e-07,0.0533153,0.00185166,0.0317183,3.54725e-07,3.54725e-07,1.93167e+07,1.2361e+13
9.83221,0.0001,0.001,1,0.1,1,1,1,0.01,0.0974297,3.7856e-05,6.59419e-07,0.0533407,0.00179048,0.0649417,3.41999e-07,3.41999e-07,2.11616e+07,1.26142e+13
12.651,0.0001,0.001,1,0.1,1,1,1,0.01,0.091047,3.9861e-05,5.85224e-07,0.0533321,0.00274102,2.51007e-06,5.42939e-07,5.42939e-07,6.80639e+06,9.80358e+12
12.2483,0.0001,0.001,1,0.1,1,1,1,0.01,0.0916474,3.96879e-05,5.91653e-07,0.0532944,0.00259383,1.08795e-05,5.11177e-07,5.11177e-07,7.8729e+06,1.01259e+13
12.8523,0.0001,0.001,1,0.1,1,1,1,0.01,0.0908902,3.98592e-05,5.84243e-07,0.0533549,0.0028163,1.20373e-06,5.59212e-07,5.59212e-07,6.33955e+06,9.65e+12
11.443,0.0001,0.001,1,0.1,1,1,1,0.01,0.0929136,3.9365e-05,6.04747e-07,0.0532535,0.00231045,0.000201602,4.50748e-07,4.50748e-07,1.0692e+07,1.08386e+13
10.2349,0.0001,0.001,1,0.1,1,1,1,0.01,0.0957541,3.84967e-05,6.37292e-07,0.0532944,0.00191431,0.0154665,3.67697e-07,3.67697e-07,1.76646e+07,1.21179e+13
11.8456,0.0001,0.001,1,0.1,1,1,1,0.01,0.0924227,3.94237e-05,6.00656e-07,0.0532679,0.0024506,4.69443e-05,4.80449e-07,4.80449e-07,9.15096e+06,1.04701e+13
11.2416,0.0001,0.001,1,0.1,1,1,1,0.01,0.093333,3.92342e-05,6.09502e-07,0.0532512,0.00224207,0.000416998,4.36278e-07,4.36278e-07,1.15811e+07,1.10327e+13
11.6443,0.0001,0.001,1,0.1,1,1,1,0.01,0.092516,3.94891e-05,6.00267e-07,0.0532591,0.00237977,9.73435e-05,4.65471e-07,4.65471e-07,9.88485e+06,1.06511e+13
11.0403,0.0001,0.001,1,0.1,1,1,1,0.01,0.0941047,3.88931e-05,6.19931e-07,0.0532523,0.00217518,0.000861399,4.22061e-07,4.22061e-07,1.25624e+07,1.12339e+13
