N,LAM,C,ADEL,LEC1,LEC2,MU_ETA,MU_DEL,XI_INF,XI_FO,TSM_FO,XI_CMB,XI_BBN,RD_ETA,RD_DEL,DNEFF_CMB,DNEFF_BBN,ETA_SI_PER_MASS,DEL_SI_PER_MASS
5,1e-07,1,1,0.01,1,1,1,0.01,0.265768,1.2097e-08,0.00562898,0.00770945,5.00892e-07,39.2189,1.22748e-08,1.22748e-08,4.43726e+15,2.4805e+22
6,1e-07,1,1,0.01,1,1,1,0.01,0.241048,1.2862e-08,0.00480176,0.00802374,6.64673e-07,0.204194,1.78648e-08,1.78648e-08,1.95344e+15,2.06709e+22
7,1e-07,1,1,0.01,1,1,1,0.01,0.223996,1.34299e-08,0.00427338,0.00876317,8.4773e-07,0.000963952,2.58007e-08,2.58007e-08,9.76199e+14,1.77179e+22
8,1e-07,1,1,0.01,1,1,1,0.01,0.209687,1.40208e-08,0.00383182,0.00896937,1.04946e-06,4.22408e-06,3.39895e-08,3.39895e-08,5.35272e+14,1.55031e+22
9,1e-07,1,1,0.01,1,1,1,0.01,0.197881,1.45897e-08,0.00347507,0.00964833,1.26959e-06,1.74396e-08,4.5374e-08,4.5374e-08,3.15056e+14,1.37806e+22
10,1e-07,1,1,0.01,1,1,1,0.01,0.188588,1.50714e-08,0.003206,0.00979303,1.50804e-06,6.85896e-11,5.64469e-08,5.64469e-08,1.96101e+14,1.24025e+22
11,1e-07,1,1,0.01,1,1,1,0.01,0.181786,1.54042e-08,0.0030236,0.0104302,1.76493e-06,2.59133e-13,7.16835e-08,7.16835e-08,1.27706e+14,1.1275e+22
12,1e-07,1,1,0.01,1,1,1,0.01,0.175692,1.57464e-08,0.00285875,0.0105369,2.03957e-06,9.46505e-16,8.59189e-08,8.59189e-08,8.63305e+13,1.03354e+22
13,1e-07,1,1,0.01,1,1,1,0.01,0.169851,1.61409e-08,0.00269617,0.0111417,2.33146e-06,3.35916e-18,1.05381e-07,1.05381e-07,6.02191e+13,9.54039e+21
14,1e-07,1,1,0.01,1,1,1,0.01,0.166121,1.63264e-08,0.00260698,0.0112241,2.64195e-06,1.16299e-20,1.23052e-07,1.23052e-07,4.31423e+13,8.85894e+21
