N,LAM,C,ADEL,LEC1,LEC2,MU_ETA,MU_DEL,XI_INF,XI_FO,TSM_FO,XI_CMB,XI_BBN,RD_ETA,RD_DEL,DNEFF_CMB,DNEFF_BBN,ETA_SI_PER_MASS,DEL_SI_PER_MASS
5,1e-07,1,1,0.1,1,1,10,0.01,0.375022,7.88176e-09,0.012191,0.0111515,5.70401e-06,7.7249e-41,1.88884e-08,1.88884e-08,4.43726e+17,2.4805e+21
6,1e-07,1,1,0.1,1,1,10,0.01,0.357777,7.8279e-09,0.0117104,0.0125137,8.56412e-06,1.07464e-49,2.95096e-08,2.95096e-08,1.95344e+17,2.06709e+21
7,1e-07,1,1,0.1,1,1,10,0.01,0.345197,7.7556e-09,0.011404,0.0138299,1.21228e-05,1.36608e-58,4.32263e-08,4.32263e-08,9.76199e+16,1.77179e+21
8,1e-07,1,1,0.1,1,1,10,0.01,0.335008,7.69243e-09,0.0111583,0.0150914,1.63772e-05,1.62444e-67,6.03328e-08,6.03328e-08,5.35272e+16,1.55031e+21
9,1e-07,1,1,0.1,1,1,10,0.01,0.326164,7.64765e-09,0.0109273,0.0163227,2.13117e-05,1.83483e-76,8.11621e-08,8.11621e-08,3.15056e+16,1.37806e+21
10,1e-07,1,1,0.1,1,1,10,0.01,0.320129,7.56312e-09,0.010845,0.017515,2.71491e-05,1.98952e-85,1.05986e-07,1.05986e-07,1.96101e+16,1.24025e+21
11,1e-07,1,1,0.1,1,1,10,0.01,0.312273,7.56904e-09,0.0105706,0.0186849,3.33679e-05,2.08672e-94,1.35121e-07,1.35121e-07,1.27706e+16,1.1275e+21
12,1e-07,1,1,0.1,1,1,10,0.01,0.306153,7.55126e-09,0.0103878,0.019825,4.04126e-05,2.12916e-103,1.68822e-07,1.68822e-07,8.63305e+15,1.03354e+21
13,1e-07,1,1,0.1,1,1,10,0.01,0.301684,7.50485e-09,0.0102995,0.0209472,4.84123e-05,2.12253e-112,2.07393e-07,2.07393e-07,6.02191e+15,9.54039e+20
14,1e-07,1,1,0.1,1,1,10,0.01,0.297468,7.46994e-09,0.010203,0.0220454,5.71408e-05,2.0743e-121,2.51073e-07,2.51073e-07,4.31423e+15,8.85894e+20
15,1e-07,1,1,0.1,1,1,10,0.01,0.293224,7.45301e-09,0.0100803,0.0231289,6.65049e-05,1.99265e-130,3.00157e-07,3.00157e-07,3.16278e+15,8.26834e+20
16,1e-07,1,1,0.1,1,1,10,0.01,0.290464,7.40116e-09,0.0100553,0.0241924,7.7052e-05,1.88572e-139,3.54873e-07,3.54873e-07,2.36559e+15,7.75157e+20
17,1e-07,1,1,0.1,1,1,10,0.01,0.287347,7.37358e-09,0.00998465,0.0252433,8.81799e-05,1.76113e-148,4.15505e-07,4.15505e-07,1.80078e+15,7.29559e+20
18,1e-07,1,1,0.1,1,1,10,0.01,0.283884,7.36903e-09,0.00987041,0.0262772,9.98043e-05,1.6256e-157,4.82271e-07,4.82271e-07,1.39237e+15,6.89028e+20
19,1e-07,1,1,0.1,1,1,10,0.01,0.282006,7.31963e-09,0.00987129,0.0273001,0.000112939,1.48488e-166,5.55449e-07,5.55449e-07,1.09166e+15,6.52764e+20
20,1e-07,1,1,0.1,1,1,10,0.01,0.279442,7.30247e-09,0.00980452,0.0283082,0.000126419,1.34363e-175,6.35245e-07,6.35245e-07,8.66652e+14,6.20126e+20
21,1e-07,1,1,0.1,1,1,10,0.01,0.276656,7.30105e-09,0.00970865,0.0293065,0.000140405,1.20552e-184,7.2193e-07,7.2193e-07,6.95813e+14,5.90596e+20
22,1e-07,1,1,0.1,1,1,10,0.01,0.275373,7.25325e-09,0.00972731,0.0302918,0.000156205,1.07329e-193,8.15706e-07,8.15706e-07,5.64388e+14,5.6375e+20
23,1e-07,1,1,0.1,1,1,10,0.01,0.273357,7.23763e-09,0.00967696,0.0312682,0.000172186,9.48853e-203,9.16834e-07,9.16834e-07,4.62066e+14,5.3924e+20
24,1e-07,1,1,0.1,1,1,10,0.01,0.271259,7.23077e-09,0.00961178,0.0322331,0.000188774,8.33448e-212,1.02551e-06,1.02551e-06,3.8153e+14,5.16771e+20
25,1e-07,1,1,0.1,1,1,10,0.01,0.268474,7.25462e-09,0.00948183,0.0331899,0.000205254,7.2775e-221,1.14199e-06,1.14199e-06,3.17504e+14,4.961e+20
26,1e-07,1,1,0.1,1,1,10,0.01,0.266553,7.2519e-09,0.00941752,0.0341363,0.000223237,6.31988e-230,1.26646e-06,1.26646e-06,2.66134e+14,4.7702e+20
27,1e-07,1,1,0.1,1,1,10,0.01,0.265444,7.22328e-09,0.00941549,0.0350753,0.000242918,5.46056e-239,1.39918e-06,1.39918e-06,2.24565e+14,4.59352e+20
28,1e-07,1,1,0.1,1,1,10,0.01,0.26503,7.17241e-09,0.00946748,0.0360048,0.000264349,4.69597e-248,1.54032e-06,1.54032e-06,1.90664e+14,4.42947e+20
29,1e-07,1,1,0.1,1,1,10,0.01,0.263318,7.17383e-09,0.00940448,0.0369274,0.000284741,4.02082e-257,1.69014e-06,1.69014e-06,1.62813e+14,4.27673e+20
30,1e-07,1,1,0.1,1,1,10,0.01,0.261821,7.17076e-09,0.009355,0.0378413,0.000306092,3.42872e-266,1.8488e-06,1.8488e-06,1.39776e+14,4.13417e+20
31,1e-07,1,1,0.1,1,1,10,0.01,0.261694,7.11862e-09,0.00941894,0.0387489,0.000330476,2.91268e-275,2.01656e-06,2.01656e-06,1.20601e+14,4.00081e+20
32,1e-07,1,1,0.1,1,1,10,0.01,0.25933,7.15498e-09,0.00928642,0.0396485,0.000351651,2.46549e-284,2.19358e-06,2.19358e-06,1.04545e+14,3.87578e+20
33,1e-07,1,1,0.1,1,1,10,0.01,0.258008,7.15439e-09,0.00923987,0.0405421,0.000375283,2.07996e-293,2.3801e-06,2.3801e-06,9.10263e+13,3.75834e+20
34,1e-07,1,1,0.1,1,1,10,0.01,0.258249,7.09548e-09,0.00932525,0.0414282,0.000402922,1.74919e-302,2.5763e-06,2.5763e-06,7.95838e+13,3.6478e+20
35,1e-07,1,1,0.1,1,1,10,0.01,0.256441,7.11881e-09,0.00922963,0.0423088,0.000426918,1.4666e-311,2.78239e-06,2.78239e-06,6.98511e+13,3.54357e+20
36,1e-07,1,1,0.1,1,1,10,0.01,0.254943,7.13272e-09,0.00915782,0.0431824,0.000452087,0,2.99856e-06,2.99856e-06,6.15345e+13,3.44514e+20
37,1e-07,1,1,0.1,1,1,10,0.01,0.25572,7.05857e-09,0.00928224,0.0440507,0.000483705,0,3.22502e-06,3.22502e-06,5.43966e+13,3.35203e+20
38,1e-07,1,1,0.1,1,1,10,0.01,0.254473,7.06645e-09,0.00922666,0.0449126,0.000510987,0,3.46193e-06,3.46193e-06,4.82451e+13,3.26382e+20
39,1e-07,1,1,0.1,1,1,10,0.01,0.253593,7.06175e-09,0.00920089,0.0457694,0.000539882,0,3.70953e-06,3.70953e-06,4.29229e+13,3.18013e+20
40,1e-07,1,1,0.1,1,1,10,0.01,0.252678,7.0603e-09,0.00916956,0.0466202,0.000569334,0,3.96797e-06,3.96797e-06,3.8301e+13,3.10063e+20
41,1e-07,1,1,0.1,1,1,10,0.01,0.250961,7.09328e-09,0.00906492,0.0474661,0.000596781,0,4.23747e-06,4.23747e-06,3.4273e+13,3.025e+20
42,1e-07,1,1,0.1,1,1,10,0.01,0.250355,7.08284e-09,0.00905636,0.0483064,0.000628411,0,4.51819e-06,4.51819e-06,3.07509e+13,2.95298e+20
43,1e-07,1,1,0.1,1,1,10,0.01,0.250856,7.02854e-09,0.00914457,0.049142,0.000664741,0,4.81035e-06,4.81035e-06,2.76612e+13,2.8843e+20
44,1e-07,1,1,0.1,1,1,10,0.01,0.24971,7.043e-09,0.00908411,0.0499723,0.000695951,0,5.11408e-06,5.11408e-06,2.49426e+13,2.81875e+20
45,1e-07,1,1,0.1,1,1,10,0.01,0.249141,7.03521e-09,0.00907346,0.0507982,0.000729922,0,5.42962e-06,5.42962e-06,2.25436e+13,2.75611e+20
46,1e-07,1,1,0.1,1,1,10,0.01,0.247977,7.05355e-09,0.00900758,0.051619,0.00076208,0,5.75711e-06,5.75711e-06,2.04206e+13,2.6962e+20
47,1e-07,1,1,0.1,1,1,10,0.01,0.248898,6.98635e-09,0.00912801,0.0524356,0.000803737,0,6.09677e-06,6.09677e-06,1.8537e+13,2.63883e+20
48,1e-07,1,1,0.1,1,1,10,0.01,0.247466,7.0182e-09,0.00903429,0.0532473,0.000836056,0,6.44872e-06,6.44872e-06,1.68614e+13,2.58386e+20
49,1e-07,1,1,0.1,1,1,10,0.01,0.24654,7.03038e-09,0.00898492,0.054055,0.000871001,0,6.8132e-06,6.8132e-06,1.53673e+13,2.53112e+20
50,1e-07,1,1,0.1,1,1,10,0.01,0.24618,7.01986e-09,0.00898521,0.054858,0.00090926,0,7.19034e-06,7.19034e-06,1.40318e+13,2.4805e+20
51,1e-07,1,1,0.1,1,1,10,0.01,0.245565,7.02117e-09,0.00896111,0.0556572,0.000946897,0,7.58034e-06,7.58034e-06,1.28355e+13,2.43186e+20
52,1e-07,1,1,0.1,1,1,10,0.01,0.245858,6.98476e-09,0.00901858,0.0564519,0.000990032,0,7.98335e-06,7.98335e-06,1.17616e+13,2.3851e+20
53,1e-07,1,1,0.1,1,1,10,0.01,0.245347,6.9835e-09,0.00900146,0.0572429,0.00102963,0,8.39957e-06,8.39957e-06,1.07954e+13,2.3401e+20
54,1e-07,1,1,0.1,1,1,10,0.01,0.245556,6.9524e-09,0.00904942,0.0580297,0.00107395,0,8.82914e-06,8.82914e-06,9.92448e+12,2.29676e+20
55,1e-07,1,1,0.1,1,1,10,0.01,0.245109,6.95011e-09,0.00903594,0.0588128,0.00111531,0,9.27226e-06,9.27226e-06,9.13792e+12,2.255e+20
56,1e-07,1,1,0.1,1,1,10,0.01,0.244911,6.93802e-09,0.00904435,0.0595919,0.0011588,0,9.72908e-06,9.72908e-06,8.42623e+12,2.21473e+20
57,1e-07,1,1,0.1,1,1,10,0.01,0.244701,6.92719e-09,0.0090507,0.0603675,0.00120293,0,1.01998e-05,1.01998e-05,7.78113e+12,2.17588e+20
58,1e-07,1,1,0.1,1,1,10,0.01,0.244265,6.9268e-09,0.00903513,0.0611392,0.00124633,0,1.06845e-05,1.06845e-05,7.19538e+12,2.13836e+20
59,1e-07,1,1,0.1,1,1,10,0.01,0.243765,6.93001e-09,0.00901243,0.0619076,0.00128988,0,1.11834e-05,1.11834e-05,6.66263e+12,2.10212e+20
60,1e-07,1,1,0.1,1,1,10,0.01,0.24344,6.92639e-09,0.0090051,0.0626721,0.0013352,0,1.16967e-05,1.16967e-05,6.1773e+12,2.06709e+20
61,1e-07,1,1,0.1,1,1,10,0.01,0.242313,6.95866e-09,0.00892186,0.0634334,0.00137529,0,1.22246e-05,1.22246e-05,5.7345e+12,2.0332e+20
62,1e-07,1,1,0.1,1,1,10,0.01,0.242059,6.95337e-09,0.0089193,0.0641911,0.0014222,0,1.27671e-05,1.27671e-05,5.32987e+12,2.0004e+20
63,1e-07,1,1,0.1,1,1,10,0.01,0.241594,6.95812e-09,0.00889609,0.0649456,0.00146806,0,1.33245e-05,1.33245e-05,4.95961e+12,1.96865e+20
64,1e-07,1,1,0.1,1,1,10,0.01,0.241509,6.94662e-09,0.00890767,0.0656966,0.00151755,0,1.38968e-05,1.38968e-05,4.6203e+12,1.93789e+20
65,1e-07,1,1,0.1,1,1,10,0.01,0.24244,6.89054e-09,0.0090148,0.0664445,0.00157604,0,1.44844e-05,1.44844e-05,4.30893e+12,1.90808e+20
66,1e-07,1,1,0.1,1,1,10,0.01,0.242145,6.88936e-09,0.00900538,0.0671891,0.00162536,0,1.50873e-05,1.50873e-05,4.02283e+12,1.87917e+20
67,1e-07,1,1,0.1,1,1,10,0.01,0.241675,6.89657e-09,0.00897847,0.0679307,0.00167377,0,1.57057e-05,1.57057e-05,3.75961e+12,1.85112e+20
68,1e-07,1,1,0.1,1,1,10,0.01,0.241106,6.90883e-09,0.00894145,0.0686689,0.00172176,0,1.63397e-05,1.63397e-05,3.51714e+12,1.8239e+20
69,1e-07,1,1,0.1,1,1,10,0.01,0.240891,6.9058e-09,0.00893741,0.0694043,0.00177341,0,1.69895e-05,1.69895e-05,3.29351e+12,1.79747e+20
70,1e-07,1,1,0.1,1,1,10,0.01,0.241092,6.88456e-09,0.00897246,0.0701365,0.00182955,0,1.76553e-05,1.76553e-05,3.08701e+12,1.77179e+20
71,1e-07,1,1,0.1,1,1,10,0.01,0.239838,6.92966e-09,0.00886768,0.0708659,0.00187227,0,1.83372e-05,1.83372e-05,2.89612e+12,1.74683e+20
