# L1 = 1, c = 1, a = 1, mu_eta = 1, mu_delta = 1.5, xi_inf = 0.01, has_dp = 1
LAMBDA, N, RD_ETA, RD_DELTA, (SIG_ETA / M_ETA), (SIG_DELTA / M_DELTA), DELTA_NEFF_CMB, DELTA_NEFF_BBN
1e-07, 5, 1.31643e-11, 1.45592e+07, 2.05555e+10, 1.39882e+22, 7.27884e-08, 5.72014e-08
1e-07, 6, 2.83164e-11, 7145.83, 7.54103e+09, 2.9006e+22, 1.12206e-07, 1.05581e-07
1e-07, 7, 5.40947e-11, 3.32377, 3.23016e+09, 5.37372e+22, 1.62581e-07, 1.53723e-07
1e-07, 8, 9.48383e-11, 0.00148489, 1.54977e+09, 9.16732e+22, 2.24945e-07, 2.50798e-07
1e-07, 9, 1.55258e-10, 6.0786e-07, 8.10829e+08, 1.46843e+23, 3.0029e-07, 3.31543e-07
nan, nan, nan, nan, nan, nan, nan, nan
1e-07, 11, 3.5963e-10, 1.03746e-13, 2.68908e+08, 3.27683e+23, 4.93714e-07, 6.22431e-07
1e-07, 12, 5.17395e-10, 4.17155e-17, 1.66635e+08, 4.64096e+23, 6.13613e-07, 8.922e-07
1e-07, 13, 7.22415e-10, 1.65505e-20, 1.07294e+08, 6.39228e+23, 7.50139e-07, 1.06156e-06
1e-07, 14, 9.84114e-10, 6.83664e-24, 7.13772e+07, 8.59795e+23, 9.04142e-07, 1.46363e-06
1e-07, 15, 1.3114e-09, 1.19602e-26, 4.88384e+07, 1.13305e+24, 1.07645e-06, 1.68716e-06
1e-07, 16, 1.71567e-09, 2.44327e-28, 3.42455e+07, 1.46677e+24, 1.26788e-06, 2.2575e-06
1e-07, 17, 2.20429e-09, 6.14477e-30, 2.45355e+07, 1.8693e+24, 1.47921e-06, 2.54024e-06
1e-07, 18, 2.7907e-09, 1.52407e-31, 1.7917e+07, 2.34949e+24, 1.71124e-06, 3.31869e-06
1e-07, 19, 3.49146e-09, 3.72077e-33, 1.33082e+07, 2.91674e+24, 1.96472e-06, 3.66436e-06
1e-07, 20, 4.31126e-09, 8.95478e-35, 1.00369e+07, 3.58099e+24, 2.2404e-06, 4.69448e-06
