N,LAM,C,ADEL,LEC1,LEC2,MU_ETA,MU_DEL,XI_INF,XI_FO,TSM_FO,XI_CMB,XI_BBN,RD_ETA,RD_DEL,DNEFF_CMB,DNEFF_BBN,ETA_SI_PER_MASS,DEL_SI_PER_MASS
5,1e-07,1,1,0.1,1,10,1,0.01,-1,-1,54.6086,0.00773068,1.93602e-06,37017.6,1.23345e-08,1.23345e-08,4.43726e+22,2.4805e+22
6,1e-07,1,1,0.1,1,10,1,0.01,17.4254,8.45629e-10,5.2797,0.00803752,3.48407e-06,463.901,1.79207e-08,1.79207e-08,1.95344e+22,2.06709e+22
7,1e-07,1,1,0.1,1,10,1,0.01,15.4824,9.03829e-10,4.38892,0.00877409,4.37188e-06,1.34901,2.58602e-08,2.58602e-08,9.76199e+21,1.77179e+22
8,1e-07,1,1,0.1,1,10,1,0.01,14.032,9.53763e-10,3.7695,0.00897708,5.33419e-06,0.00323185,3.40448e-08,3.40448e-08,5.35272e+21,1.55031e+22
9,1e-07,1,1,0.1,1,10,1,0.01,12.7987,1.00653e-09,3.25795,0.00965484,6.36913e-06,7.88003e-06,4.54323e-08,4.54323e-08,3.15056e+21,1.37806e+22
10,1e-07,1,1,0.1,1,10,1,0.01,11.8918,1.04624e-09,2.9122,0.00979789,7.47485e-06,1.98225e-08,5.65016e-08,5.65016e-08,1.96101e+21,1.24025e+22
11,1e-07,1,1,0.1,1,10,1,0.01,11.0451,1.09297e-09,2.58921,0.0104344,8.64928e-06,5.10966e-11,7.17408e-08,7.17408e-08,1.27706e+21,1.1275e+22
12,1e-07,1,1,0.1,1,10,1,0.01,10.4291,1.12494e-09,2.37531,0.0105403,9.89121e-06,1.34073e-13,8.59731e-08,8.59731e-08,8.63305e+20,1.03354e+22
13,1e-07,1,1,0.1,1,10,1,0.01,9.86418,1.15928e-09,2.18011,0.0111447,1.11989e-05,3.56323e-16,1.05437e-07,1.05437e-07,6.02191e+20,9.54039e+21
14,1e-07,1,1,0.1,1,10,1,0.01,9.3142,1.20019e-09,1.98839,0.0112265,1.25708e-05,9.55728e-19,1.23106e-07,1.23106e-07,4.31423e+20,8.85894e+21
15,1e-07,1,1,0.1,1,10,1,0.01,8.92658,1.22452e-09,1.86777,0.0118043,1.40065e-05,2.58027e-21,1.47145e-07,1.47145e-07,3.16278e+20,8.26834e+21
16,1e-07,1,1,0.1,1,10,1,0.01,8.5055,1.2602e-09,1.72928,0.0118702,1.5504e-05,6.99836e-24,1.68519e-07,1.68519e-07,2.36559e+20,7.75157e+21
17,1e-07,1,1,0.1,1,10,1,0.01,8.15588,1.28984e-09,1.62009,0.0124251,1.70629e-05,1.90413e-26,1.97464e-07,1.97464e-07,1.80078e+20,7.29559e+21
18,1e-07,1,1,0.1,1,10,1,0.01,7.87878,1.31107e-09,1.53971,0.0124805,1.86825e-05,5.19157e-29,2.22811e-07,2.22811e-07,1.39237e+20,6.89028e+21
19,1e-07,1,1,0.1,1,10,1,0.01,7.55706,1.34545e-09,1.4391,0.0130151,2.03608e-05,1.41724e-31,2.56977e-07,2.56977e-07,1.09166e+20,6.52764e+21
20,1e-07,1,1,0.1,1,10,1,0.01,7.33815,1.36308e-09,1.37933,0.0130637,2.20986e-05,3.8714e-34,2.86561e-07,2.86561e-07,8.66652e+19,6.20126e+21
21,1e-07,1,1,0.1,1,10,1,0.01,7.06866,1.39531e-09,1.29799,0.0135802,2.38933e-05,1.05769e-36,3.26251e-07,3.26251e-07,6.95813e+19,5.90596e+21
22,1e-07,1,1,0.1,1,10,1,0.01,6.85046,1.41983e-09,1.2362,0.0136245,2.57457e-05,2.88913e-39,3.60334e-07,3.60334e-07,5.64388e+19,5.6375e+21
