# L1 = 1, c = 1, a = 1, mu_eta = 1.5, mu_delta = 1, xi_inf = 0.01, has_dp = 1
LAMBDA, N, RD_ETA, RD_DELTA, (SIG_ETA / M_ETA), (SIG_DELTA / M_DELTA), DELTA_NEFF_CMB, DELTA_NEFF_BBN
1e-07, 5, 3.44964e-12, 7.18096e+11, 3.51209e+11, 9.32548e+21, 7.27884e-08, 6.18596e-08
1e-07, 6, 7.50792e-12, 2.5777e+09, 1.28846e+11, 1.93373e+22, 1.12206e-07, 1.15702e-07
1e-07, 7, 1.44878e-11, 8.8046e+06, 5.51902e+10, 3.58248e+22, 1.62581e-07, 1.66608e-07
1e-07, 8, 2.55768e-11, 28972, 2.64793e+10, 6.11155e+22, 2.24945e-07, 2.74343e-07
1e-07, 9, 4.22369e-11, 92.5025, 1.38538e+10, 9.78952e+22, 3.0029e-07, 3.5794e-07
1e-07, 10, 6.62173e-11, 0.288191, 7.76071e+09, 1.49208e+23, 3.89572e-07, 5.47656e-07
1e-07, 11, 9.94676e-11, 0.000880174, 4.59454e+09, 2.18455e+23, 4.93714e-07, 6.71074e-07
1e-07, 12, 1.4412e-10, 2.63475e-06, 2.84711e+09, 3.09397e+23, 6.13613e-07, 9.76439e-07
1e-07, 13, 2.02508e-10, 7.43471e-09, 1.83321e+09, 4.26152e+23, 7.50139e-07, 1.14494e-06
1e-07, 14, 2.77208e-10, 2.15731e-11, 1.21954e+09, 5.73197e+23, 9.04142e-07, 1.60554e-06
1e-07, 15, 3.71743e-10, 6.19246e-14, 8.34449e+08, 7.55364e+23, 1.07645e-06, 1.82225e-06
1e-07, 16, 4.89239e-10, 1.76083e-16, 5.85116e+08, 9.77848e+23, 1.26788e-06, 2.48377e-06
1e-07, 17, 6.31926e-10, 4.96609e-19, 4.19211e+08, 1.2462e+24, 1.47921e-06, 2.74932e-06
1e-07, 18, 8.05491e-10, 1.39385e-21, 3.06128e+08, 1.56632e+24, 1.71124e-06, 3.66363e-06
1e-07, 19, 1.0117e-09, 4.11578e-24, 2.27383e+08, 1.94449e+24, 1.96472e-06, 3.97587e-06
1e-07, 20, 1.25745e-09, 2.69937e-26, 1.71489e+08, 2.38732e+24, 2.2404e-06, 5.20112e-06
1e-07, 21, 1.54388e-09, 1.08068e-27, 1.31128e+08, 2.90181e+24, 2.53903e-06, 5.55485e-06
1e-07, 22, 1.87966e-09, 6.70864e-29, 1.01526e+08, 3.49528e+24, 2.86132e-06, 7.1555e-06
1e-07, 23, 2.26544e-09, 4.22586e-30, 7.95059e+07, 4.17544e+24, 3.208e-06, 7.54223e-06
1e-07, 24, 2.71159e-09, 2.63898e-31, 6.29131e+07, 4.95036e+24, 3.57977e-06, 9.58916e-06
1e-07, 25, 3.21688e-09, 1.63334e-32, 5.02612e+07, 5.82843e+24, 3.97733e-06, 9.99694e-06
1e-07, 26, 3.79629e-09, 1.00257e-33, 4.05088e+07, 6.81844e+24, 4.40136e-06, 1.25675e-05
1e-07, 27, 4.44437e-09, 6.10687e-35, 3.29156e+07, 7.92951e+24, 4.85254e-06, 1.29806e-05
1e-07, 28, 5.17957e-09, 3.69334e-36, 2.69485e+07, 9.17114e+24, 5.33154e-06, 1.61586e-05
1e-07, 29, 5.99556e-09, 2.21886e-37, 2.22185e+07, 1.05532e+25, 5.83901e-06, 1.65577e-05
1e-07, 30, 6.90509e-09, 1.32478e-38, 1.8439e+07, 1.20858e+25, 6.37562e-06, 2.04334e-05
1e-07, 31, 7.92525e-09, 7.8638e-40, 1.53962e+07, 1.37796e+25, 6.94201e-06, 2.0795e-05
1e-07, 32, 9.04047e-09, 4.64251e-41, 1.29294e+07, 1.56456e+25, 7.53882e-06, 2.54654e-05
1e-07, 33, 1.02746e-08, 2.72677e-42, 1.09163e+07, 1.76949e+25, 8.16668e-06, 2.5762e-05
1e-07, 34, 1.16453e-08, 1.59385e-43, 9.26338e+06, 1.99392e+25, 8.82622e-06, 3.13305e-05
1e-07, 35, 1.31254e-08, 9.27405e-45, 7.89822e+06, 2.23905e+25, 9.51806e-06, 3.15305e-05
1e-07, 36, 1.47638e-08, 5.3731e-46, 6.76457e+06, 2.50612e+25, 1.02428e-05, 3.81071e-05
1e-07, 37, 1.65211e-08, 3.10036e-47, 5.81828e+06, 2.79639e+25, 1.10011e-05, 3.81744e-05
1e-07, 38, 1.84709e-08, 1.78207e-48, 5.02452e+06, 3.11118e+25, 1.17935e-05, 4.58759e-05
1e-07, 39, 2.05606e-08, 1.02059e-49, 4.35561e+06, 3.45183e+25, 1.26206e-05, 4.57701e-05
1e-07, 40, 2.28412e-08, 5.82455e-51, 3.78943e+06, 3.81972e+25, 1.34831e-05, 5.47198e-05
1e-07, 41, 2.52864e-08, 3.31313e-52, 3.30821e+06, 4.21625e+25, 1.43814e-05, 5.43961e-05
1e-07, 42, 2.79263e-08, 1.87865e-53, 2.89757e+06, 4.64289e+25, 1.53162e-05, 6.47238e-05
1e-07, 43, 3.07543e-08, 1.06206e-54, 2.54582e+06, 5.10112e+25, 1.62881e-05, 6.41328e-05
1e-07, 44, 3.37964e-08, 5.9869e-56, 2.24344e+06, 5.59245e+25, 1.72977e-05, 7.5975e-05
1e-07, 45, 3.70983e-08, 3.36562e-57, 1.9826e+06, 6.11845e+25, 1.83454e-05, 7.50627e-05
1e-07, 46, 4.05717e-08, 1.88707e-58, 1.75686e+06, 6.68071e+25, 1.94319e-05, 8.85627e-05
1e-07, 47, 4.43487e-08, 1.0554e-59, 1.56087e+06, 7.28086e+25, 2.05578e-05, 8.72706e-05
1e-07, 48, 4.83202e-08, 5.88848e-61, 1.3902e+06, 7.92057e+25, 2.17236e-05, 0.000102578
1e-07, 49, 5.25663e-08, 3.27781e-62, 1.24116e+06, 8.60153e+25, 2.29298e-05, 0.000100843
1e-07, 50, 5.70992e-08, 1.82054e-63, 1.11063e+06, 9.32548e+25, 2.4177e-05, 0.000118113
1e-07, 51, 6.19141e-08, 1.009e-64, 996023, 1.00942e+26, 2.54657e-05, 0.000115867
1e-07, 52, 6.70222e-08, 5.58069e-66, 895132, 1.09095e+26, 2.67965e-05, 0.000135264
1e-07, 53, 7.24689e-08, 3.08056e-67, 806099, 1.17732e+26, 2.817e-05, 0.000132434
1e-07, 54, 7.82355e-08, 1.69724e-68, 727344, 1.26872e+26, 2.95866e-05, 0.000154127
1e-07, 55, 8.42251e-08, 9.3339e-70, 657523, 1.36534e+26, 3.10469e-05, 0.000150635
1e-07, 56, 9.05724e-08, 5.12407e-71, 595486, 1.46738e+26, 3.25514e-05, 0.000174801
1e-07, 57, 9.73845e-08, 2.80818e-72, 540249, 1.57504e+26, 3.41007e-05, 0.000170564
1e-07, 58, 1.04469e-07, 1.53646e-73, 490967, 1.68851e+26, 3.56953e-05, 0.000197384
1e-07, 59, 1.12126e-07, 8.39312e-75, 446910, 1.808e+26, 3.73356e-05, 0.000192317
1e-07, 60, 1.1993e-07, 4.57782e-76, 407450, 1.93373e+26, 3.90223e-05, 0.00022198
1e-07, 61, 1.28189e-07, 2.49314e-77, 372042, 2.06591e+26, 4.07558e-05, 0.000215989
1e-07, 62, 1.36939e-07, 1.35585e-78, 340214, 2.20474e+26, 4.25366e-05, 0.000248691
1e-07, 63, 1.46049e-07, 7.36321e-80, 311554, 2.35046e+26, 4.43652e-05, 0.000241679
1e-07, 64, 1.55745e-07, 3.99334e-81, 285704, 2.50329e+26, 4.62422e-05, 0.000277622
1e-07, 65, 1.6565e-07, 2.1629e-82, 262351, 2.66345e+26, 4.81681e-05, 0.000269488
1e-07, 66, 1.76159e-07, 1.17e-83, 241221, 2.83118e+26, 5.01433e-05, 0.000308879
1e-07, 67, 1.8706e-07, 6.32118e-85, 222073, 3.0067e+26, 5.21683e-05, 0.000299516
1e-07, 68, 1.98508e-07, 3.41108e-86, 204695, 3.19027e+26, 5.42437e-05, 0.000342571
1e-07, 69, 2.10487e-07, 1.83857e-87, 188902, 3.38211e+26, 5.637e-05, 0.000331867
1e-07, 70, 2.22997e-07, 9.89868e-89, 174529, 3.58248e+26, 5.85476e-05, 0.000378807
1e-07, 71, 2.36397e-07, 5.32351e-90, 161431, 3.79162e+26, 6.0777e-05, 0.000366645
1e-07, 72, 2.49816e-07, 2.85993e-91, 149479, 4.00979e+26, 6.30587e-05, 0.000417697
1e-07, 73, 2.63818e-07, 1.53484e-92, 138558, 4.23724e+26, 6.53931e-05, 0.000403956
1e-07, 74, 2.7859e-07, 8.22867e-94, 128568, 4.47423e+26, 6.77809e-05, 0.000459354
1e-07, 75, 2.93946e-07, 4.40728e-95, 119418, 4.72103e+26, 7.02224e-05, 0.000443907
1e-07, 76, 3.09822e-07, 2.35828e-96, 111028, 4.9779e+26, 7.27181e-05, 0.00050389
1e-07, 77, 3.26373e-07, 1.26071e-97, 103326, 5.24511e+26, 7.52686e-05, 0.000486607
1e-07, 78, 3.44037e-07, 6.73348e-99, 96247.1, 5.52293e+26, 7.78742e-05, 0.000551421
1e-07, 79, 3.61686e-07, 3.59318e-100, 89734.5, 5.81165e+26, 8.05355e-05, 0.000532164
1e-07, 80, 3.80193e-07, 1.91577e-101, 83736.2, 6.11155e+26, 8.32529e-05, 0.000602063
1e-07, 81, 3.9965e-07, 1.02057e-102, 78206.1, 6.4229e+26, 8.60268e-05, 0.000580692
1e-07, 82, 4.19327e-07, 5.43231e-104, 73102.5, 6.74601e+26, 8.88579e-05, 0.000655933
1e-07, 83, 4.40088e-07, 2.8892e-105, 68387.9, 7.08115e+26, 9.17464e-05, 0.000632301
1e-07, 84, 4.61071e-07, 1.53543e-106, 64028.4, 7.42863e+26, 9.46929e-05, 0.00071315
1e-07, 85, 4.83138e-07, 8.15364e-108, 59993.6, 7.78874e+26, 9.76979e-05, 0.000687106
1e-07, 86, 5.07138e-07, 4.32661e-109, 56255.8, 8.16179e+26, 0.000100762, 0.000773832
1e-07, 87, 5.30694e-07, 2.29418e-110, 52790.2, 8.54808e+26, 0.000103885, 0.000745221
1e-07, 88, 5.54351e-07, 1.21561e-111, 49574.1, 8.94792e+26, 0.000107068, 0.000838102
1e-07, 89, 5.79657e-07, 6.43668e-113, 46587, 9.36163e+26, 0.000110311, 0.000806762
1e-07, 90, 6.05533e-07, 3.4059e-114, 43810.2, 9.78952e+26, 0.000113615, 0.00090608
1e-07, 91, 6.32285e-07, 1.80099e-115, 41227, 1.02319e+27, 0.00011698, 0.000871847
1e-07, 92, 6.59976e-07, 9.51718e-117, 38821.9, 1.06891e+27, 0.000120407, 0.000977891
1e-07, 93, 6.88565e-07, 5.02606e-118, 36580.8, 1.11615e+27, 0.000123896, 0.000940594
1e-07, 94, 7.18058e-07, 2.65262e-119, 34491.1, 1.16494e+27, 0.000127447, 0.00105366
1e-07, 95, 7.48882e-07, 1.39913e-120, 32541, 1.21531e+27, 0.000131061, 0.00101312
1e-07, 96, 7.79788e-07, 7.37527e-122, 30719.8, 1.26729e+27, 0.000134739, 0.00113351
1e-07, 97, 8.12147e-07, 3.88548e-123, 29017.9, 1.32093e+27, 0.00013848, 0.00108955
1e-07, 98, 8.45234e-07, 2.04579e-124, 27426.3, 1.37624e+27, 0.000142286, 0.00121757
1e-07, 99, 8.79917e-07, 1.07655e-125, 25936.8, 1.43328e+27, 0.000146156, 0.00117001
1e-07, 100, 9.14637e-07, 5.66193e-127, 24542, 1.49208e+27, 0.000150092, 0.00130596
1e-07, 101, 9.5065e-07, 2.9762e-128, 23235, 1.55266e+27, 0.000154093, 0.00125461
1e-07, 102, 9.88577e-07, 1.56361e-129, 22009.5, 1.61507e+27, 0.00015816, 0.00139882
1e-07, 103, 1.02677e-06, 8.21047e-131, 20859.6, 1.67935e+27, 0.000162294, 0.00134348
1e-07, 104, 1.06587e-06, 4.3091e-132, 19780.1, 1.74552e+27, 0.000166494, 0.00149627
1e-07, 105, 1.10583e-06, 2.26041e-133, 18765.9, 1.81363e+27, 0.000170762, 0.00143674
1.2045e-07, 5, 4.38257e-12, 4.94968e+11, 2.9158e+11, 5.33639e+21, 7.27884e-08, 6.15362e-08
1.2045e-07, 6, 9.53555e-12, 1.77671e+09, 1.0697e+11, 1.10655e+22, 1.12206e-07, 1.14584e-07
1.2045e-07, 7, 1.83955e-11, 6.06867e+06, 4.58199e+10, 2.05003e+22, 1.62581e-07, 1.65359e-07
1.2045e-07, 8, 3.24609e-11, 19968.3, 2.19836e+10, 3.49725e+22, 2.24945e-07, 2.70831e-07
1.2045e-07, 9, 5.36582e-11, 63.7493, 1.15016e+10, 5.60192e+22, 3.0029e-07, 3.54466e-07
1.2045e-07, 10, 8.40409e-11, 0.198655, 6.44308e+09, 8.53822e+22, 3.89572e-07, 5.39047e-07
1.2045e-07, 11, 1.26088e-10, 0.000606736, 3.81446e+09, 1.25008e+23, 4.93714e-07, 6.63141e-07
1.2045e-07, 12, 1.82818e-10, 1.81557e-06, 2.36372e+09, 1.77048e+23, 6.13613e-07, 9.58431e-07
1.2045e-07, 13, 2.5682e-10, 5.12445e-09, 1.52197e+09, 2.4386e+23, 7.50139e-07, 1.12909e-06
1.2045e-07, 14, 3.52127e-10, 1.48695e-11, 1.01249e+09, 3.28004e+23, 9.04142e-07, 1.57183e-06
nan, nan, nan, nan, nan, nan, nan, nan
1.2045e-07, 16, 6.2016e-10, 1.21368e-16, 4.85773e+08, 5.59561e+23, 1.26788e-06, 2.42564e-06
1.2045e-07, 17, 8.02339e-10, 3.42322e-19, 3.48036e+08, 7.1312e+23, 1.47921e-06, 2.70079e-06
1.2045e-07, 18, 1.02079e-09, 9.62666e-22, 2.54153e+08, 8.96308e+23, 1.71124e-06, 3.56951e-06
1.2045e-07, 19, 1.28398e-09, 2.96546e-24, 1.88777e+08, 1.11271e+24, 1.96472e-06, 3.89853e-06
1.2045e-07, 20, 1.59314e-09, 2.70056e-26, 1.42373e+08, 1.36611e+24, 2.2404e-06, 5.05618e-06
1.2045e-07, 21, 1.9588e-09, 1.28653e-27, 1.08865e+08, 1.66052e+24, 2.53903e-06, 5.43712e-06
1.2045e-07, 22, 2.38085e-09, 8.07644e-29, 8.42887e+07, 2.00013e+24, 2.86132e-06, 6.9412e-06
1.2045e-07, 23, 2.87366e-09, 5.08995e-30, 6.60072e+07, 2.38934e+24, 3.208e-06, 7.36965e-06
1.2045e-07, 24, 3.43386e-09, 3.17866e-31, 5.22315e+07, 2.83278e+24, 3.57977e-06, 9.28283e-06
1.2045e-07, 25, 4.07946e-09, 1.96737e-32, 4.17277e+07, 3.33524e+24, 3.97733e-06, 9.75179e-06
1.2045e-07, 26, 4.80533e-09, 1.2076e-33, 3.36311e+07, 3.90176e+24, 4.40136e-06, 1.21418e-05
1.2045e-07, 27, 5.62617e-09, 7.35574e-35, 2.73271e+07, 4.53756e+24, 4.85254e-06, 1.26416e-05
1.2045e-07, 28, 6.55499e-09, 4.44864e-36, 2.23731e+07, 5.24807e+24, 5.33154e-06, 1.55814e-05
1.2045e-07, 29, 7.58845e-09, 2.67263e-37, 1.84461e+07, 6.03892e+24, 5.83901e-06, 1.60995e-05
1.2045e-07, 30, 8.73874e-09, 1.5957e-38, 1.53083e+07, 6.91596e+24, 6.37562e-06, 1.96668e-05
1.2045e-07, 31, 1.00264e-08, 9.47198e-40, 1.27822e+07, 7.88522e+24, 6.94201e-06, 2.0188e-05
1.2045e-07, 32, 1.14381e-08, 5.59192e-41, 1.07342e+07, 8.95297e+24, 7.53882e-06, 2.44658e-05
1.2045e-07, 33, 1.2999e-08, 3.2844e-42, 9.06292e+06, 1.01257e+25, 8.16668e-06, 2.49718e-05
1.2045e-07, 34, 1.47277e-08, 1.9198e-43, 7.69061e+06, 1.14099e+25, 8.82622e-06, 3.00479e-05
1.2045e-07, 35, 1.66017e-08, 1.11706e-44, 6.55724e+06, 1.28127e+25, 9.51806e-06, 3.05176e-05
1.2045e-07, 36, 1.86699e-08, 6.47192e-46, 5.61606e+06, 1.43409e+25, 1.02428e-05, 3.64847e-05
1.2045e-07, 37, 2.09184e-08, 3.7344e-47, 4.83043e+06, 1.6002e+25, 1.10011e-05, 3.68939e-05
1.2045e-07, 38, 2.33512e-08, 2.14651e-48, 4.17144e+06, 1.78033e+25, 1.17935e-05, 4.38496e-05
1.2045e-07, 39, 2.5994e-08, 1.2293e-49, 3.6161e+06, 1.97527e+25, 1.26206e-05, 4.41711e-05
1.2045e-07, 40, 2.88711e-08, 7.0157e-51, 3.14605e+06, 2.18578e+25, 1.34831e-05, 5.22178e-05
1.2045e-07, 41, 3.19622e-08, 3.99068e-52, 2.74653e+06, 2.4127e+25, 1.43814e-05, 5.24215e-05
1.2045e-07, 42, 3.52962e-08, 2.26284e-53, 2.40561e+06, 2.65683e+25, 1.53162e-05, 6.16662e-05
1.2045e-07, 43, 3.88711e-08, 1.27925e-54, 2.11358e+06, 2.91905e+25, 1.62881e-05, 6.17188e-05
1.2045e-07, 44, 4.27627e-08, 7.21124e-56, 1.86254e+06, 3.20021e+25, 1.72977e-05, 7.22734e-05
1.2045e-07, 45, 4.68723e-08, 4.0539e-57, 1.64599e+06, 3.5012e+25, 1.83454e-05, 7.21385e-05
1.2045e-07, 46, 5.13392e-08, 2.27298e-58, 1.45857e+06, 3.82295e+25, 1.94319e-05, 8.41195e-05
