N,LAM,C,ADEL,LEC1,LEC2,MU_ETA,MU_DEL,XI_INF,XI_FO,TSM_FO,XI_CMB,XI_BBN,RD_ETA,RD_DEL,DNEFF_CMB,DNEFF_BBN,ETA_SI_PER_MASS,DEL_SI_PER_MASS
5,1e-07,1,1,0.1,1,1,1,0.005,0.113042,2.96756e-08,0.000975986,0.00398493,6.49017e-08,1.22558,8.08904e-10,8.08904e-10,4.43726e+17,2.4805e+22
6,1e-07,1,1,0.1,1,1,1,0.005,0.102479,3.16632e-08,0.000829245,0.00422935,8.62162e-08,0.00638109,1.20495e-09,1.20495e-09,1.95344e+17,2.06709e+22
7,1e-07,1,1,0.1,1,1,1,0.005,0.0952593,3.3136e-08,0.000736566,0.00460197,1.10066e-07,3.01237e-05,1.73714e-09,1.73714e-09,9.76199e+16,1.77179e+22
8,1e-07,1,1,0.1,1,1,1,0.005,0.0896125,3.44615e-08,0.000666252,0.00480858,1.36392e-07,1.32003e-07,2.34094e-09,2.34094e-09,5.35272e+16,1.55031e+22
9,1e-07,1,1,0.1,1,1,1,0.005,0.0847647,3.58385e-08,0.000605997,0.00514517,1.6513e-07,5.44991e-10,3.11513e-09,3.11513e-09,3.15056e+16,1.37806e+22
10,1e-07,1,1,0.1,1,1,1,0.005,0.0811919,3.68581e-08,0.000564397,0.00533202,1.9631e-07,2.14343e-12,3.95942e-09,3.95942e-09,1.96101e+16,1.24025e+22
11,1e-07,1,1,0.1,1,1,1,0.005,0.0783752,3.76795e-08,0.000532939,0.00564333,2.29898e-07,8.098e-15,5.00844e-09,5.00844e-09,1.27706e+16,1.1275e+22
12,1e-07,1,1,0.1,1,1,1,0.005,0.075746,3.86005e-08,0.000502773,0.00581847,2.65802e-07,2.95784e-17,6.12462e-09,6.12462e-09,8.63305e+15,1.03354e+22
13,1e-07,1,1,0.1,1,1,1,0.005,0.0738423,3.91934e-08,0.000482722,0.00611052,3.04115e-07,1.04975e-19,7.47962e-09,7.47962e-09,6.02191e+15,9.54039e+21
14,1e-07,1,1,0.1,1,1,1,0.005,0.0721087,3.98041e-08,0.000464157,0.00627808,3.44727e-07,3.63438e-22,8.89799e-09,8.89799e-09,4.31423e+15,8.85894e+21
15,1e-07,1,1,0.1,1,1,1,0.005,0.0705609,4.03977e-08,0.000447519,0.00655474,3.87627e-07,1.23142e-24,1.05889e-08,1.05889e-08,3.16278e+15,8.26834e+21
16,1e-07,1,1,0.1,1,1,1,0.005,0.0690567,4.10737e-08,0.000430771,0.00671703,4.32744e-07,4.09396e-27,1.23388e-08,1.23388e-08,2.36559e+15,7.75157e+21
17,1e-07,1,1,0.1,1,1,1,0.005,0.067879,4.15725e-08,0.000418344,0.00698099,4.8018e-07,1.33841e-29,1.43945e-08,1.43945e-08,1.80078e+15,7.29559e+21
18,1e-07,1,1,0.1,1,1,1,0.005,0.0669667,4.19155e-08,0.000409344,0.0071394,5.29931e-07,4.31051e-32,1.65045e-08,1.65045e-08,1.39237e+15,6.89028e+21
19,1e-07,1,1,0.1,1,1,1,0.005,0.066304,4.20924e-08,0.00040359,0.00739266,5.8201e-07,1.36974e-34,1.89532e-08,1.89532e-08,1.09166e+15,6.52764e+21
20,1e-07,1,1,0.1,1,1,1,0.005,0.0654618,4.2498e-08,0.000394661,0.00754807,6.36153e-07,4.30012e-37,2.1451e-08,2.1451e-08,8.66652e+14,6.20126e+21
21,1e-07,1,1,0.1,1,1,1,0.005,0.0645336,4.30526e-08,0.000384053,0.00779212,6.92355e-07,1.33521e-39,2.43199e-08,2.43199e-08,6.95813e+14,5.90596e+21
22,1e-07,1,1,0.1,1,1,1,0.005,0.0640378,4.32261e-08,0.000379572,0.00794512,7.5102e-07,4.10455e-42,2.7233e-08,2.7233e-08,5.64388e+14,5.6375e+21
23,1e-07,1,1,0.1,1,1,1,0.005,0.0632894,4.3708e-08,0.000371,0.00818116,8.11571e-07,1.25026e-44,3.0549e-08,3.0549e-08,4.62066e+14,5.3924e+21
24,1e-07,1,1,0.1,1,1,1,0.005,0.0629173,4.38339e-08,0.00036776,0.00833216,8.74595e-07,3.77642e-47,3.39039e-08,3.39039e-08,3.8153e+14,5.16771e+21
25,1e-07,1,1,0.1,1,1,1,0.005,0.0626794,4.38454e-08,0.000366273,0.00856113,9.39888e-07,1.13186e-49,3.76932e-08,3.76932e-08,3.17504e+14,4.961e+21
26,1e-07,1,1,0.1,1,1,1,0.005,0.0620572,4.43144e-08,0.000358799,0.00871042,1.00681e-06,3.36814e-52,4.15159e-08,4.15159e-08,2.66134e+14,4.7702e+21
27,1e-07,1,1,0.1,1,1,1,0.005,0.0619481,4.42374e-08,0.000358792,0.00893312,1.07646e-06,9.95633e-55,4.58045e-08,4.58045e-08,2.24565e+14,4.59352e+21
28,1e-07,1,1,0.1,1,1,1,0.005,0.0614579,4.46227e-08,0.000352879,0.00908091,1.14765e-06,2.92497e-57,5.0121e-08,5.0121e-08,1.90664e+14,4.42947e+21
29,1e-07,1,1,0.1,1,1,1,0.005,0.0611883,4.47805e-08,0.000350094,0.00929798,1.2212e-06,8.54367e-60,5.49338e-08,5.49338e-08,1.62813e+14,4.27673e+21
30,1e-07,1,1,0.1,1,1,1,0.005,0.0612015,4.46234e-08,0.000351402,0.00944444,1.29729e-06,2.48214e-62,5.97692e-08,5.97692e-08,1.39776e+14,4.13417e+21
31,1e-07,1,1,0.1,1,1,1,0.005,0.0607658,4.50247e-08,0.00034579,0.00965643,1.37462e-06,7.17496e-65,6.51317e-08,6.51317e-08,1.20601e+14,4.00081e+21
32,1e-07,1,1,0.1,1,1,1,0.005,0.0606552,4.50531e-08,0.000344943,0.00980168,1.45457e-06,2.06422e-67,7.05111e-08,7.05111e-08,1.04545e+14,3.87578e+21
33,1e-07,1,1,0.1,1,1,1,0.005,0.0604063,4.52711e-08,0.000341874,0.0100091,1.53624e-06,5.91233e-70,7.64475e-08,7.64475e-08,9.10263e+13,3.75834e+21
34,1e-07,1,1,0.1,1,1,1,0.005,0.0605764,4.49802e-08,0.000345053,0.0101532,1.62084e-06,1.68634e-72,8.23959e-08,8.23959e-08,7.95838e+13,3.6478e+21
35,1e-07,1,1,0.1,1,1,1,0.005,0.0602037,4.53881e-08,0.000339849,0.0103564,1.7062e-06,4.79074e-75,8.89304e-08,8.89304e-08,6.98511e+13,3.54357e+21
36,1e-07,1,1,0.1,1,1,1,0.005,0.0602574,4.52685e-08,0.000341051,0.0104995,1.79456e-06,1.35596e-77,9.54717e-08,9.54717e-08,6.15345e+13,3.44514e+21
37,1e-07,1,1,0.1,1,1,1,0.005,0.0600199,4.55386e-08,0.000337692,0.0106988,1.88413e-06,3.82421e-80,1.02629e-07,1.02629e-07,5.43966e+13,3.35203e+21
38,1e-07,1,1,0.1,1,1,1,0.005,0.0600691,4.54476e-08,0.000338645,0.010841,1.97644e-06,1.07498e-82,1.09787e-07,1.09787e-07,4.82451e+13,3.26382e+21
39,1e-07,1,1,0.1,1,1,1,0.005,0.0602532,4.51891e-08,0.000341626,0.0110367,2.07111e-06,3.01204e-85,1.1759e-07,1.1759e-07,4.29229e+13,3.18013e+21
40,1e-07,1,1,0.1,1,1,1,0.005,0.0602232,4.52214e-08,0.000341212,0.011178,2.16713e-06,8.41414e-88,1.25389e-07,1.25389e-07,3.8301e+13,3.10063e+21
41,1e-07,1,1,0.1,1,1,1,0.005,0.0600143,4.55042e-08,0.000337916,0.0113704,2.2645e-06,2.3437e-90,1.33861e-07,1.33861e-07,3.4273e+13,3.025e+21
42,1e-07,1,1,0.1,1,1,1,0.005,0.0600904,4.54152e-08,0.000339007,0.0115108,2.3647e-06,6.51013e-93,1.42325e-07,1.42325e-07,3.07509e+13,2.95298e+21
43,1e-07,1,1,0.1,1,1,1,0.005,0.0601001,4.54244e-08,0.000338993,0.0117002,2.4666e-06,1.80374e-95,1.5149e-07,1.5149e-07,2.76612e+13,2.8843e+21
44,1e-07,1,1,0.1,1,1,1,0.005,0.0600214,4.55641e-08,0.000337511,0.0118398,2.57007e-06,4.98474e-98,1.60641e-07,1.60641e-07,2.49426e+13,2.81875e+21
45,1e-07,1,1,0.1,1,1,1,0.005,0.060145,4.54334e-08,0.000339178,0.0120263,2.67618e-06,1.37431e-100,1.70522e-07,1.70522e-07,2.25436e+13,2.75611e+21
46,1e-07,1,1,0.1,1,1,1,0.005,0.0600401,4.56275e-08,0.000337147,0.0121651,2.78328e-06,3.78035e-103,1.80383e-07,1.80383e-07,2.04206e+13,2.6962e+21
47,1e-07,1,1,0.1,1,1,1,0.005,0.0602621,4.53725e-08,0.000340295,0.012349,2.89359e-06,1.03751e-105,1.91004e-07,1.91004e-07,1.8537e+13,2.63883e+21
48,1e-07,1,1,0.1,1,1,1,0.005,0.0602561,4.54428e-08,0.000339735,0.0124871,3.00482e-06,2.84175e-108,2.01598e-07,2.01598e-07,1.68614e+13,2.58386e+21
49,1e-07,1,1,0.1,1,1,1,0.005,0.0603936,4.53177e-08,0.000341451,0.0126685,3.11852e-06,7.76744e-111,2.12979e-07,2.12979e-07,1.53673e+13,2.53112e+21
50,1e-07,1,1,0.1,1,1,1,0.005,0.0603347,4.54772e-08,0.000339921,0.0128059,3.23318e-06,2.11915e-113,2.2433e-07,2.2433e-07,1.40318e+13,2.4805e+21
