# L1 = 1, c = 1, a = 1, mu_eta = 1, mu_delta = 1, xi_inf = 0.001, has_dp = 1
LAMBDA, N, RD_ETA, RD_DELTA, (SIG_ETA / M_ETA), (SIG_DELTA / M_DELTA), DELTA_NEFF_CMB, DELTA_NEFF_BBN
1e-07, 5, 4.81946e-14, 6.71351e+06, 2.05554e+10, 9.32548e+21, 7.27889e-12, 2.43888e-12
1e-07, 6, 1.0265e-13, 24494.2, 7.54102e+09, 1.93373e+22, 1.12205e-11, 3.68404e-12
1e-07, 7, 1.94617e-13, 84.6563, 3.23015e+09, 3.58248e+22, 1.6258e-11, 5.18704e-12
1e-07, 8, 3.38068e-13, 0.28105, 1.54977e+09, 6.11155e+22, 2.24943e-11, 6.98897e-12
1e-07, 9, 5.47913e-13, 0.000903365, 8.10827e+08, 9.78952e+22, 3.00289e-11, 9.09181e-12
1e-07, 10, 8.46555e-13, 2.73687e-06, 4.54216e+08, 1.49208e+23, 3.8957e-11, 1.15275e-11
1e-07, 11, 1.25219e-12, 8.33022e-09, 2.68907e+08, 2.18455e+23, 4.93714e-11, 1.42941e-11
1e-07, 12, 1.78798e-12, 2.49088e-11, 1.66635e+08, 3.09397e+23, 6.13613e-11, 1.74201e-11
1e-07, 13, 2.48716e-12, 7.33427e-14, 1.07294e+08, 4.26152e+23, 7.50139e-11, 2.0905e-11
1e-07, 14, 3.36192e-12, 2.1329e-16, 7.13769e+07, 5.73197e+23, 9.04143e-11, 2.47753e-11
1e-07, 15, 4.44959e-12, 6.13295e-19, 4.88383e+07, 7.55364e+23, 1.07645e-10, 2.90313e-11
1e-07, 16, 5.78552e-12, 1.74791e-21, 3.42454e+07, 9.77848e+23, 1.26788e-10, 3.36983e-11
1e-07, 17, 7.39209e-12, 4.98888e-24, 2.45354e+07, 1.2462e+24, 1.47921e-10, 3.87797e-11
1e-07, 18, 9.31984e-12, 1.75265e-26, 1.79169e+07, 1.56632e+24, 1.71124e-10, 4.42973e-11
1e-07, 19, 1.15848e-11, 2.83433e-28, 1.33081e+07, 1.94449e+24, 1.96472e-10, 5.02553e-11
1e-07, 20, 1.42666e-11, 1.61157e-29, 1.00368e+07, 2.38732e+24, 2.24041e-10, 5.66768e-11
1e-07, 21, 1.73264e-11, 1.03342e-30, 7.67461e+06, 2.90181e+24, 2.53903e-10, 6.35654e-11
1e-07, 22, 2.08989e-11, 6.58965e-32, 5.94207e+06, 3.49528e+24, 2.86133e-10, 7.09429e-11
1e-07, 23, 2.49419e-11, 4.15834e-33, 4.65328e+06, 4.17544e+24, 3.20801e-10, 7.88148e-11
1e-07, 24, 2.95693e-11, 2.59851e-34, 3.68214e+06, 4.95036e+24, 3.57977e-10, 8.72022e-11
1e-07, 25, 3.47497e-11, 1.6092e-35, 2.94166e+06, 5.82843e+24, 3.97732e-10, 9.61103e-11
1e-07, 26, 4.06416e-11, 9.88267e-37, 2.37088e+06, 6.81844e+24, 4.40137e-10, 1.05559e-10
1e-07, 27, 4.71249e-11, 6.02263e-38, 1.92647e+06, 7.92951e+24, 4.85253e-10, 1.15555e-10
1e-07, 28, 5.44299e-11, 3.64404e-39, 1.57722e+06, 9.17114e+24, 5.33152e-10, 1.26118e-10
1e-07, 29, 6.24982e-11, 2.19017e-40, 1.30039e+06, 1.05532e+25, 5.83903e-10, 1.37255e-10
1e-07, 30, 7.13474e-11, 1.30817e-41, 1.07918e+06, 1.20858e+25, 6.37561e-10, 1.48982e-10
1e-07, 31, 8.12428e-11, 7.7681e-43, 901100, 1.37796e+25, 6.94201e-10, 1.61312e-10
1e-07, 32, 9.18962e-11, 4.58762e-44, 756724, 1.56456e+25, 7.53884e-10, 1.74256e-10
1e-07, 33, 1.03557e-10, 2.69542e-45, 638904, 1.76949e+25, 8.16668e-10, 1.87829e-10
1e-07, 34, 1.1646e-10, 1.57602e-46, 542161, 1.99392e+25, 8.82624e-10, 2.02042e-10
1e-07, 35, 1.30228e-10, 9.17304e-48, 462262, 2.23905e+25, 9.51808e-10, 2.16907e-10
1e-07, 36, 1.45179e-10, 5.31607e-49, 395912, 2.50612e+25, 1.02428e-09, 2.3244e-10
1e-07, 37, 1.61323e-10, 3.06827e-50, 340528, 2.79639e+25, 1.10011e-09, 2.48649e-10
1e-07, 38, 1.78956e-10, 1.76407e-51, 294071, 3.11118e+25, 1.17935e-09, 2.6555e-10
1e-07, 39, 1.97658e-10, 1.01052e-52, 254922, 3.45183e+25, 1.26206e-09, 2.83153e-10
1e-07, 40, 2.17738e-10, 5.76844e-54, 221785, 3.81972e+25, 1.3483e-09, 3.01469e-10
1e-07, 41, 2.39698e-10, 3.28194e-55, 193620, 4.21625e+25, 1.43814e-09, 3.20514e-10
1e-07, 42, 2.62458e-10, 1.86135e-56, 169587, 4.64289e+25, 1.53163e-09, 3.403e-10
1e-07, 43, 2.87238e-10, 1.05249e-57, 149000, 5.10112e+25, 1.62882e-09, 3.60837e-10
1e-07, 44, 3.13349e-10, 5.9341e-59, 131302, 5.59245e+25, 1.72976e-09, 3.82133e-10
1e-07, 45, 3.41139e-10, 3.33655e-60, 116036, 6.11845e+25, 1.83454e-09, 4.04206e-10
1e-07, 46, 3.70268e-10, 1.8711e-61, 102824, 6.68071e+25, 1.94319e-09, 4.2707e-10
1e-07, 47, 4.01439e-10, 1.04665e-62, 91353.3, 7.28086e+25, 2.05578e-09, 4.50728e-10
nan, nan, nan, nan, nan, nan, nan, nan
1e-07, 49, 4.69517e-10, 3.25166e-65, 72641.4, 8.60153e+25, 2.29298e-09, 5.0049e-10
1e-07, 50, 5.06336e-10, 1.80629e-66, 65002.1, 9.32548e+25, 2.41769e-09, 5.26618e-10
1e-07, 51, 5.45829e-10, 1.00124e-67, 58294.4, 1.00942e+26, 2.54657e-09, 5.53589e-10
1e-07, 52, 5.86454e-10, 5.53858e-69, 52389.5, 1.09095e+26, 2.67965e-09, 5.81415e-10
1e-07, 53, 6.29706e-10, 3.05772e-70, 47178.6, 1.17732e+26, 2.817e-09, 6.10111e-10
1e-07, 54, 6.74691e-10, 1.68488e-71, 42569.3, 1.26872e+26, 2.95866e-09, 6.39685e-10
1e-07, 55, 7.21656e-10, 9.26709e-73, 38482.9, 1.36534e+26, 3.10469e-09, 6.70152e-10
1e-07, 56, 7.71356e-10, 5.08801e-74, 34852.1, 1.46738e+26, 3.25514e-09, 7.01515e-10
nan, nan, nan, nan, nan, nan, nan, nan
nan, nan, nan, nan, nan, nan, nan, nan
1e-07, 59, 9.34979e-10, 8.33689e-78, 26156.3, 1.808e+26, 3.73356e-09, 8.01135e-10
1e-07, 60, 9.94666e-10, 4.54763e-79, 23846.8, 1.93373e+26, 3.90222e-09, 8.3622e-10
nan, nan, nan, nan, nan, nan, nan, nan
1e-07, 62, 1.12022e-09, 1.34718e-81, 19911.7, 2.20474e+26, 4.25365e-09, 9.09262e-10
1e-07, 63, 1.18717e-09, 7.31684e-83, 18234.3, 2.35046e+26, 4.43653e-09, 9.47246e-10
nan, nan, nan, nan, nan, nan, nan, nan
1e-07, 65, 1.32733e-09, 2.14968e-85, 15354.6, 2.66345e+26, 4.81681e-09, 1.02619e-09
1e-07, 66, 1.40597e-09, 1.16295e-86, 14117.9, 2.83118e+26, 5.01433e-09, 1.06717e-09
nan, nan, nan, nan, nan, nan, nan, nan
nan, nan, nan, nan, nan, nan, nan, nan
nan, nan, nan, nan, nan, nan, nan, nan
1e-07, 70, 1.73138e-09, 9.84227e-92, 10214.7, 3.58248e+26, 5.85476e-09, 1.2414e-09
1e-07, 71, 1.82095e-09, 5.29358e-93, 9448.05, 3.79162e+26, 6.07769e-09, 1.28759e-09
1e-07, 72, 1.91807e-09, 2.84406e-94, 8748.51, 4.00979e+26, 6.30586e-09, 1.33485e-09
1e-07, 73, 2.01071e-09, 1.52643e-95, 8109.37, 4.23724e+26, 6.53932e-09, 1.38319e-09
1e-07, 74, 2.10928e-09, 8.18419e-97, 7524.69, 4.47423e+26, 6.77809e-09, 1.43262e-09
nan, nan, nan, nan, nan, nan, nan, nan
1e-07, 76, 2.3165e-09, 2.34585e-99, 6498.13, 4.9779e+26, 7.27181e-09, 1.53481e-09
1e-07, 77, 2.42517e-09, 1.25415e-100, 6047.34, 5.24511e+26, 7.52685e-09, 1.58758e-09
1e-07, 78, 2.5434e-09, 6.69886e-102, 5633.04, 5.52293e+26, 7.78743e-09, 1.64148e-09
1e-07, 79, 2.65434e-09, 3.57494e-103, 5251.87, 5.81165e+26, 8.05355e-09, 1.69652e-09
nan, nan, nan, nan, nan, nan, nan, nan
1e-07, 81, 2.89452e-09, 1.01551e-105, 4577.15, 6.4229e+26, 8.60269e-09, 1.81007e-09
1e-07, 82, 3.02051e-09, 5.40569e-107, 4278.45, 6.74601e+26, 8.8858e-09, 1.8686e-09
1e-07, 83, 3.14983e-09, 2.87521e-108, 4002.52, 7.08115e+26, 9.17463e-09, 1.92832e-09
1e-07, 84, 3.28275e-09, 1.52808e-109, 3747.37, 7.42863e+26, 9.46931e-09, 1.98922e-09
1e-07, 85, 3.41755e-09, 8.11503e-111, 3511.23, 7.78874e+26, 9.7698e-09, 2.05132e-09
1e-07, 86, 3.55965e-09, 4.30635e-112, 3292.47, 8.16179e+26, 1.00762e-08, 2.11463e-09
1e-07, 87, 3.70372e-09, 2.28355e-113, 3089.64, 8.54808e+26, 1.03885e-08, 2.17916e-09
1e-07, 88, 3.85299e-09, 1.21005e-114, 2901.41, 8.94792e+26, 1.07068e-08, 2.24493e-09
1e-07, 89, 4.01107e-09, 6.40752e-116, 2726.58, 9.36163e+26, 1.10311e-08, 2.31193e-09
1e-07, 90, 4.15956e-09, 3.39063e-117, 2564.07, 9.78952e+26, 1.13615e-08, 2.38018e-09
1e-07, 91, 4.31601e-09, 1.793e-118, 2412.88, 1.02319e+27, 1.1698e-08, 2.44969e-09
1e-07, 92, 4.49975e-09, 9.47541e-120, 2272.11, 1.06891e+27, 1.20407e-08, 2.52046e-09
1e-07, 93, 4.66296e-09, 5.00422e-121, 2140.95, 1.11615e+27, 1.23896e-08, 2.59251e-09
1e-07, 94, 4.82319e-09, 2.64121e-122, 2018.65, 1.16494e+27, 1.27447e-08, 2.66584e-09
1e-07, 95, 4.99525e-09, 1.39317e-123, 1904.51, 1.21531e+27, 1.31061e-08, 2.74048e-09
1e-07, 96, 5.17434e-09, 7.34419e-125, 1797.93, 1.26729e+27, 1.34739e-08, 2.81642e-09
1e-07, 97, 5.36306e-09, 3.86927e-126, 1698.32, 1.32093e+27, 1.38481e-08, 2.89367e-09
nan, nan, nan, nan, nan, nan, nan, nan
1e-07, 99, 5.73705e-09, 1.07214e-128, 1517.99, 1.43328e+27, 1.46156e-08, 3.05214e-09
1e-07, 100, 6.95549e-08, 5.639e-130, 1436.36, 1.49208e+27, 1.50092e-08, 3.13339e-09
1e-07, 101, 7.06571e-08, 2.96425e-131, 1359.87, 1.55266e+27, 1.54093e-08, 3.21598e-09
1e-07, 102, 7.17551e-08, 1.55739e-132, 1288.14, 1.61507e+27, 1.5816e-08, 3.29993e-09
1e-07, 103, 7.28514e-08, 8.17815e-134, 1220.84, 1.67935e+27, 1.62293e-08, 3.38525e-09
1e-07, 104, 7.39578e-08, 4.29229e-135, 1157.66, 1.74552e+27, 1.66494e-08, 3.47196e-09
1e-07, 105, 7.50513e-08, 2.25168e-136, 1098.3, 1.81363e+27, 1.70761e-08, 3.56003e-09
1.2045e-07, 5, 6.11149e-14, 4.62743e+06, 1.70655e+10, 5.33639e+21, 7.27889e-12, 2.06919e-12
1.2045e-07, 6, 1.30045e-13, 16874.2, 6.26069e+09, 1.10655e+22, 1.12205e-11, 3.09239e-12
1.2045e-07, 7, 2.46356e-13, 58.3492, 2.68173e+09, 2.05003e+22, 1.6258e-11, 4.33894e-12
1.2045e-07, 8, 4.28197e-13, 0.193708, 1.28665e+09, 3.49725e+22, 2.24943e-11, 5.84024e-12
1.2045e-07, 9, 6.96097e-13, 0.000622558, 6.73163e+08, 5.60192e+22, 3.00289e-11, 7.61312e-12
1.2045e-07, 10, 1.07128e-12, 1.88932e-06, 3.77098e+08, 8.53822e+22, 3.8957e-11, 9.67598e-12
1.2045e-07, 11, 1.58482e-12, 5.74169e-09, 2.23251e+08, 1.25008e+23, 4.93714e-11, 1.20458e-11
1.2045e-07, 12, 2.26849e-12, 1.71664e-11, 1.38343e+08, 1.77048e+23, 6.13613e-11, 1.47411e-11
1.2045e-07, 13, 3.14258e-12, 5.05523e-14, 8.9077e+07, 2.4386e+23, 7.50139e-11, 1.77773e-11
1.2045e-07, 14, 4.24952e-12, 1.47012e-16, 5.92584e+07, 3.28004e+23, 9.04143e-11, 2.1172e-11
1.2045e-07, 15, 5.63366e-12, 4.22726e-19, 4.05464e+07, 4.32247e+23, 1.07645e-10, 2.494e-11
1.2045e-07, 16, 7.31148e-12, 1.20518e-21, 2.84311e+07, 5.59561e+23, 1.26788e-10, 2.90986e-11
1.2045e-07, 17, 9.3419e-12, 3.4669e-24, 2.03697e+07, 7.1312e+23, 1.47921e-10, 3.36638e-11
1.2045e-07, 18, 1.17898e-11, 1.39834e-26, 1.48749e+07, 8.96308e+23, 1.71124e-10, 3.86508e-11
1.2045e-07, 19, 1.46679e-11, 3.21542e-28, 1.10487e+07, 1.11271e+24, 1.96472e-10, 4.4075e-11
1.2045e-07, 20, 1.80047e-11, 1.93564e-29, 8.33276e+06, 1.36611e+24, 2.24041e-10, 4.9953e-11
1.2045e-07, 21, 2.18698e-11, 1.2446e-30, 6.37159e+06, 1.66052e+24, 2.53903e-10, 5.62986e-11
1.2045e-07, 22, 2.63806e-11, 7.93722e-32, 4.93321e+06, 2.00013e+24, 2.86133e-10, 6.31278e-11
1.2045e-07, 23, 3.14651e-11, 5.00874e-33, 3.86323e+06, 2.38934e+24, 3.20801e-10, 7.04547e-11
1.2045e-07, 24, 3.73081e-11, 3.12992e-34, 3.05698e+06, 2.83278e+24, 3.57977e-10, 7.82952e-11
1.2045e-07, 25, 4.38224e-11, 1.93828e-35, 2.44222e+06, 3.33524e+24, 3.97732e-10, 8.66621e-11
nan, nan, nan, nan, nan, nan, nan, nan
1.2045e-07, 27, 5.9497e-11, 7.25428e-38, 1.59939e+06, 4.53756e+24, 4.85253e-10, 1.05035e-10
1.2045e-07, 28, 6.85907e-11, 4.38925e-39, 1.30944e+06, 5.24807e+24, 5.33152e-10, 1.15069e-10
1.2045e-07, 29, 7.87475e-11, 2.63807e-40, 1.07961e+06, 6.03892e+24, 5.83903e-10, 1.25687e-10
1.2045e-07, 30, 9.00136e-11, 1.57569e-41, 895957, 6.91596e+24, 6.37561e-10, 1.369e-10
1.2045e-07, 31, 1.02309e-10, 9.3567e-43, 748109, 7.88522e+24, 6.94201e-10, 1.48726e-10
1.2045e-07, 32, 1.15723e-10, 5.52581e-44, 628245, 8.95297e+24, 7.53884e-10, 1.61174e-10
1.2045e-07, 33, 1.30582e-10, 3.24664e-45, 530429, 1.01257e+25, 8.16668e-10, 1.74262e-10
1.2045e-07, 34, 1.46581e-10, 1.89832e-46, 450112, 1.14099e+25, 8.82624e-10, 1.87998e-10
1.2045e-07, 35, 1.64027e-10, 1.1049e-47, 383778, 1.28127e+25, 9.51808e-10, 2.02398e-10
1.2045e-07, 36, 1.82698e-10, 6.40322e-49, 328693, 1.43409e+25, 1.02428e-09, 2.17474e-10
1.2045e-07, 37, 2.03259e-10, 3.69574e-50, 282712, 1.6002e+25, 1.10011e-09, 2.33239e-10
1.2045e-07, 38, 2.25072e-10, 2.12483e-51, 244143, 1.78033e+25, 1.17935e-09, 2.49706e-10
1.2045e-07, 39, 2.48518e-10, 1.21718e-52, 211641, 1.97527e+25, 1.26206e-09, 2.66887e-10
1.2045e-07, 40, 2.74009e-10, 6.94811e-54, 184130, 2.18578e+25, 1.3483e-09, 2.84793e-10
1.2045e-07, 41, 3.01197e-10, 3.95311e-55, 160747, 2.4127e+25, 1.43814e-09, 3.03439e-10
nan, nan, nan, nan, nan, nan, nan, nan
1.2045e-07, 43, 3.60744e-10, 1.26773e-57, 123702, 2.91905e+25, 1.62882e-09, 3.42998e-10
1.2045e-07, 44, 3.93515e-10, 7.14765e-59, 109010, 3.20021e+25, 1.72976e-09, 3.63931e-10
1.2045e-07, 45, 4.28068e-10, 4.01889e-60, 96335.3, 3.5012e+25, 1.83454e-09, 3.85651e-10
1.2045e-07, 46, 4.65059e-10, 2.25375e-61, 85366.3, 3.82295e+25, 1.94319e-09, 4.08174e-10
1.2045e-07, 47, 5.04739e-10, 1.26069e-62, 75843.1, 4.16638e+25, 2.05578e-09, 4.31502e-10
1.2045e-07, 48, 5.45716e-10, 7.03502e-64, 67550.3, 4.53244e+25, 2.17236e-09, 4.55656e-10
1.2045e-07, 49, 5.9308e-10, 3.91664e-65, 60308.1, 4.92211e+25, 2.29298e-09, 4.80641e-10
1.2045e-07, 50, 6.3634e-10, 2.17568e-66, 53965.9, 5.33639e+25, 2.41769e-09, 5.06473e-10
1.2045e-07, 51, 6.8485e-10, 1.206e-67, 48397, 5.77628e+25, 2.54657e-09, 5.3316e-10
1.2045e-07, 52, 7.35649e-10, 6.67125e-69, 43494.7, 6.24282e+25, 2.67965e-09, 5.60712e-10
nan, nan, nan, nan, nan, nan, nan, nan
1.2045e-07, 54, 8.45984e-10, 2.02945e-71, 35341.8, 7.26009e+25, 2.95866e-09, 6.18469e-10
1.2045e-07, 55, 9.05273e-10, 1.11622e-72, 31949.2, 7.813e+25, 3.10469e-09, 6.48694e-10
1.2045e-07, 56, 9.67184e-10, 6.12852e-74, 28934.8, 8.39691e+25, 3.25514e-09, 6.79827e-10
1.2045e-07, 57, 1.03198e-09, 3.35905e-75, 26250.8, 9.01294e+25, 3.41007e-09, 7.11888e-10
1.2045e-07, 58, 1.09973e-09, 1.83807e-76, 23856.2, 9.66227e+25, 3.56952e-09, 7.44878e-10
1.2045e-07, 59, 1.1725e-09, 1.00418e-77, 21715.4, 1.03461e+26, 3.73356e-09, 7.78816e-10
1.2045e-07, 60, 1.24601e-09, 5.47764e-79, 19798.1, 1.10655e+26, 3.90222e-09, 8.13709e-10
1.2045e-07, 61, 1.32817e-09, 2.98351e-80, 18077.6, 1.18219e+26, 4.07558e-09, 8.49564e-10
1.2045e-07, 62, 1.4074e-09, 1.62268e-81, 16531, 1.26164e+26, 4.25365e-09, 8.86399e-10
1.2045e-07, 63, 1.49132e-09, 8.81316e-83, 15138.5, 1.34502e+26, 4.43653e-09, 9.2422e-10
1.2045e-07, 64, 1.57629e-09, 4.78016e-84, 13882.4, 1.43248e+26, 4.62422e-09, 9.63039e-10
1.2045e-07, 65, 1.66578e-09, 2.5893e-85, 12747.7, 1.52413e+26, 4.81681e-09, 1.00286e-09
nan, nan, nan, nan, nan, nan, nan, nan
1.2045e-07, 67, 1.85343e-09, 7.56866e-88, 10790.5, 1.72055e+26, 5.21683e-09, 1.08558e-09
nan, nan, nan, nan, nan, nan, nan, nan
1.2045e-07, 69, 2.05822e-09, 2.20177e-90, 9178.77, 1.93537e+26, 5.637e-09, 1.17246e-09
1.2045e-07, 70, 2.17217e-09, 1.18551e-91, 8480.38, 2.05003e+26, 5.85476e-09, 1.21747e-09
1.2045e-07, 71, 2.27973e-09, 6.37614e-93, 7843.93, 2.1697e+26, 6.07769e-09, 1.26356e-09
1.2045e-07, 72, 2.39487e-09, 3.42569e-94, 7263.17, 2.29455e+26, 6.30586e-09, 1.31073e-09
1.2045e-07, 73, 2.51379e-09, 1.83859e-95, 6732.54, 2.4247e+26, 6.53932e-09, 1.35899e-09
